starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
K2-61,2.480,0.790,-0.790,,,,0.01660,0.00110,-0.00110,1.36,0.41,-0.41,1.21,0.22,-0.22,2.57302000,Transit,6293.00,13.1730000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-62,2.140,0.210,-0.210,,,,0.02710,0.00170,-0.00170,0.73,0.05,-0.05,0.77,0.05,-0.05,6.67202000,Transit,4880.00,12.3910000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-62,2.140,0.220,-0.220,,,,0.02690,0.00190,-0.00190,0.73,0.05,-0.05,0.77,0.05,-0.05,16.19660000,Transit,4880.00,12.3910000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-63,3.220,0.990,-0.990,,,,0.01800,0.00140,-0.00140,1.63,0.48,-0.48,1.40,0.25,-0.25,20.25700000,Transit,6771.00,12.9800000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-63,3.900,1.200,-1.200,,,,0.02190,0.00190,-0.00190,1.63,0.48,-0.48,1.40,0.25,-0.25,25.45560000,Transit,6771.00,12.9800000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-64,2.070,0.260,-0.260,,,,0.02590,0.00170,-0.00170,0.73,0.08,-0.08,0.74,0.07,-0.07,6.53044000,Transit,5312.00,14.1320000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-65,1.580,0.380,-0.380,,,,0.01730,0.00340,-0.00340,0.84,0.12,-0.12,0.87,0.10,-0.10,12.64750000,Transit,5213.00,10.7100000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-66,2.490,0.340,-0.240,21.30000,3.60000,-3.60000,0.01353,0.00174,-0.00080,1.67,0.12,-0.12,1.11,0.04,-0.04,5.06963000,Transit,5887.00,11.7100000,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,K2,Transit
K2-68,1.580,0.230,-0.230,,,,0.02110,0.00160,-0.00160,0.68,0.09,-0.09,0.73,0.10,-0.10,8.05428000,Transit,4746.00,12.9870000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-69,2.320,0.360,-0.360,,,,0.04280,0.00330,-0.00330,0.49,0.07,-0.07,0.55,0.07,-0.07,7.06599000,Transit,4127.00,16.0240000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-7,2.670,0.560,-0.560,,,,,,,0.96,0.17,-0.08,0.97,0.06,-0.06,28.67992000,Transit,5772.00,13.4530000,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,K2,Transit
K2-70,2.890,0.470,-0.470,,,,0.02810,0.00170,-0.00170,0.93,0.14,-0.14,0.94,0.10,-0.10,13.97896000,Transit,5622.00,13.0740000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-71,2.150,0.330,-0.330,,,,0.04570,0.00430,-0.00430,0.43,0.05,-0.05,0.48,0.06,-0.06,6.98541000,Transit,4006.00,16.1400000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-72,1.080,0.110,-0.110,,,,0.02995,0.00153,-0.00135,0.33,0.03,-0.03,0.27,0.08,-0.09,5.57721200,Transit,3360.47,15.3700000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-72,1.160,0.130,-0.130,,,,0.03226,0.00219,-0.00199,0.33,0.03,-0.03,0.27,0.08,-0.09,15.18903400,Transit,3360.47,15.3700000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-72,1.010,0.120,-0.120,,,,0.02786,0.00227,-0.00202,0.33,0.03,-0.03,0.27,0.08,-0.09,7.76017800,Transit,3360.47,15.3700000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-72,1.290,0.140,-0.130,,,,0.03576,0.00201,-0.00178,0.33,0.03,-0.03,0.27,0.08,-0.09,24.15886800,Transit,3360.47,15.3700000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-73,2.450,0.210,-0.210,,,,0.02100,0.00120,-0.00120,1.06,0.07,-0.07,1.05,0.03,-0.03,7.49543000,Transit,5922.00,11.3450000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-74,2.310,0.190,-0.190,,,,0.02150,0.00110,-0.00110,0.98,0.06,-0.06,0.96,0.03,-0.03,19.56660000,Transit,6060.00,12.7150000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-75,2.670,0.320,-0.320,,,,0.01560,0.00110,-0.00110,1.56,0.15,-0.15,1.16,0.06,-0.06,7.81420000,Transit,5995.00,12.8030000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-75,2.770,0.380,-0.380,,,,0.01620,0.00150,-0.00150,1.56,0.15,-0.15,1.16,0.06,-0.06,18.31100000,Transit,5995.00,12.8030000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-77,2.300,0.160,-0.160,603.87700,,,0.02780,0.00220,-0.00110,0.76,0.03,-0.03,0.80,0.12,-0.12,8.19979600,Transit,4970.00,12.2240000,<a refstr=GAIDOS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..850G/abstract target=ref>Gaidos et al. 2017</a>,K2,Transit
K2-79,3.690,0.390,-0.390,,,,0.02610,0.00120,-0.00120,1.28,0.12,-0.12,1.06,0.04,-0.04,10.99573000,Transit,5926.00,12.1520000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-8,3.580,0.710,-0.710,,,,0.04457,0.00861,-0.00861,0.74,0.04,-0.04,0.78,0.04,-0.04,10.35239000,Transit,4870.00,14.8010000,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,K2,Transit
K2-8,2.410,0.330,-0.330,,,,0.02990,0.00385,-0.00385,0.74,0.04,-0.04,0.78,0.04,-0.04,5.06416000,Transit,4870.00,14.8010000,<a refstr=SINUKOFF_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827...78S/abstract target=ref>Sinukoff et al. 2016</a>,K2,Transit
K2-80,2.010,0.300,-0.300,,,,0.02100,0.00200,-0.00200,0.87,0.10,-0.10,0.90,0.08,-0.08,19.09180000,Transit,5441.00,12.6940000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-80,1.470,0.230,-0.230,,,,0.01540,0.00160,-0.00160,0.87,0.10,-0.10,0.90,0.08,-0.08,5.60500000,Transit,5441.00,12.6940000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-80,2.552,0.276,-0.140,,,,0.02781,0.00284,-0.00134,0.84,0.03,-0.02,0.91,0.02,-0.02,28.86725300,Transit,5377.00,12.6940000,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,K2,Transit
K2-81,1.970,0.130,-0.110,,,,0.02850,0.00092,-0.00071,0.63,0.04,-0.03,0.75,0.07,-0.07,6.10232500,Transit,4674.13,14.3140000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-83,1.244,0.098,-0.098,,,,0.02680,0.00190,-0.00190,0.42,0.02,-0.02,0.48,0.02,-0.02,2.74697000,Transit,3910.00,14.5220000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-83,1.483,0.099,-0.099,,,,0.03190,0.00180,-0.00180,0.42,0.02,-0.02,0.48,0.02,-0.02,9.99767000,Transit,3910.00,14.5220000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-84,2.410,0.350,-0.350,,,,0.02340,0.00170,-0.00170,0.93,0.12,-0.12,0.95,0.07,-0.07,6.42150000,Transit,5652.00,13.3860000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-84,2.030,0.320,-0.320,,,,0.01980,0.00170,-0.00170,0.93,0.12,-0.12,0.95,0.07,-0.07,27.86000000,Transit,5652.00,13.3860000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-85,1.010,0.120,-0.120,,,,0.01790,0.00150,-0.00150,0.51,0.04,-0.04,0.57,0.05,-0.05,0.68453300,Transit,4268.00,12.4160000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-86,1.960,0.270,-0.270,,,,0.02340,0.00160,-0.00160,0.76,0.09,-0.09,0.79,0.08,-0.08,8.77683000,Transit,5482.00,13.0410000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-87,7.600,0.400,-0.400,,,,0.05000,0.00100,-0.00100,1.40,0.08,-0.06,1.16,0.04,-0.04,9.72661800,Transit,5747.00,14.1360000,<a refstr=LIVINGSTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..102L/abstract target=ref>Livingston et al. 2019</a>,K2,Transit
K2-88,1.230,0.250,-0.250,,,,0.04360,0.00240,-0.00240,0.26,0.05,-0.05,0.26,0.07,-0.07,4.61220000,Transit,3537.00,15.5230000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-89,0.615,0.080,-0.080,,,,0.01760,0.00140,-0.00140,0.32,0.03,-0.03,0.35,0.04,-0.04,1.09602600,Transit,3691.00,14.1620000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-9,2.250,0.530,-0.960,,,,0.06669,0.00060,-0.01307,0.31,0.11,-0.11,0.30,0.14,-0.14,18.44980000,Transit,3390.00,15.8600000,<a refstr=SCHLIEDER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...87S/abstract target=ref>Schlieder et al. 2016</a>,K2,Transit
K2-90,2.600,0.100,-0.100,,,,0.03800,0.00100,-0.00100,0.62,0.01,-0.01,0.63,0.02,-0.02,13.73331400,Transit,4484.00,13.7070000,<a refstr=LIVINGSTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..102L/abstract target=ref>Livingston et al. 2019</a>,K2,Transit
K2-90,1.300,0.130,-0.110,,,,0.01873,0.00171,-0.00136,0.63,0.03,-0.03,0.70,0.07,-0.07,2.90070600,Transit,4421.98,13.7070000,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,K2,Transit
K2-91,1.100,0.180,-0.180,,,,0.03520,0.00250,-0.00250,0.28,0.04,-0.04,0.29,0.06,-0.06,1.41954900,Transit,3622.00,15.6220000,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,K2,Transit
K2-95,3.880,1.750,-1.750,,,,0.08530,0.06680,-0.01040,0.42,0.01,-0.01,0.44,0.01,-0.01,10.13401600,Transit,3548.00,17.2360000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
K2-97,10.610,0.950,-0.950,,,,0.02180,0.00230,-0.00120,4.47,0.18,-0.18,1.20,0.05,-0.05,8.40672600,Transit,4717.00,12.4860000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
K2-98,5.200,0.190,-0.190,,,,0.03040,0.00100,-0.00050,1.57,0.04,-0.04,1.20,0.03,-0.03,10.13644800,Transit,6172.00,12.2160000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
K2-99,11.730,0.420,-0.420,,,,0.04080,0.00130,-0.00070,2.63,0.07,-0.07,1.63,0.04,-0.04,18.25198500,Transit,6217.00,11.1490000,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,K2,Transit
KELT-1,12.442,0.359,-0.247,8654.15000,158.90800,-152.55200,,,,1.46,0.04,,1.32,0.03,,1.21751400,Transit,6518.00,10.6320000,<a refstr=SIVERD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...761..123S/abstract target=ref> Siverd et al. 2012 </a>,KELT,Transit
KELT-10,15.681,0.773,-0.549,215.80657,12.39537,-12.07754,0.11900,0.00140,-0.00120,1.21,0.05,-0.04,1.11,0.06,-0.06,4.16627390,Transit,5948.00,10.6170000,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,KELT-South,Transit
KELT-11,15.132,1.121,-1.121,54.34893,4.76745,-4.76745,0.05140,0.00320,-0.00380,2.69,0.04,-0.04,1.44,0.07,-0.07,4.73610000,Transit,5375.00,8.0400000,<a refstr=BEATTY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...25B/abstract target=ref>Beatty et al. 2017</a>,KELT-South,Transit
KELT-12,19.952,1.906,-1.793,301.93850,44.49620,-44.49620,0.07720,0.00190,-0.00180,2.37,0.17,-0.17,1.59,0.07,-0.09,5.03162300,Transit,6279.00,10.5850000,<a refstr=STEVENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..178S/abstract target=ref>Stevens et al. 2017</a>,KELT-North,Transit
KELT-14,19.537,0.527,-0.527,408.09372,10.17056,-10.17056,,,,1.52,0.03,-0.03,1.24,0.04,-0.04,1.71005660,Transit,5720.00,11.0010000,<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016PASP..128f4401T/abstract target=ref>Turner et al. 2016</a>,KELT-South,Transit
KELT-15,19.504,2.242,-2.242,416.35730,136.66690,-136.66690,,,,1.78,0.21,-0.21,2.06,0.75,-0.75,3.32944000,Transit,6003.00,11.3900000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT-South,Transit
KELT-16,15.861,0.942,-0.751,874.03250,50.85280,-47.67450,0.10700,0.00130,-0.00120,1.36,0.06,-0.05,1.21,0.04,-0.05,0.96899510,Transit,6236.00,11.7170000,<a refstr=OBERST_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...97O/abstract target=ref>Oberst et al. 2017</a>,KELT,Transit
KELT-17,17.094,0.729,-0.673,416.35730,88.99240,-92.17070,0.09526,0.00088,-0.00085,1.65,0.06,-0.06,1.64,0.07,-0.06,3.08017160,Transit,7454.00,9.2340000,<a refstr=ZHOU_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..136Z/abstract target=ref>Zhou et al. 2016</a>,KELT,Transit
KELT-18,17.598,0.471,-0.404,375.03940,34.96130,-34.96130,0.08462,0.00091,-0.00091,1.91,0.04,-0.04,1.52,0.07,-0.07,2.87175180,Transit,6670.00,10.1600000,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,KELT-North,Transit
KELT-19 A,21.409,1.233,-1.233,1293.56810,,,0.10713,0.00092,-0.00092,1.83,0.10,-0.10,1.62,0.25,-0.20,4.61170930,Transit,7500.00,9.8570000,<a refstr=SIVERD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...35S/abstract target=ref>Siverd et al. 2018</a>,KELT,Transit
KELT-2 A,15.132,0.897,-0.897,540.31100,69.92260,-69.92260,,,,1.93,0.10,-0.10,1.54,0.28,-0.28,4.11379000,Transit,6327.00,8.6800000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT,Transit
KELT-20,19.515,0.773,-0.829,1074.90106,,,0.11440,0.00062,-0.00061,1.56,0.06,-0.06,1.76,0.14,-0.19,3.47410850,Transit,8720.00,7.5900000,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,KELT-North,Transit
KELT-21,17.777,0.437,-0.448,1242.71530,,,0.09952,0.00071,-0.00073,1.64,0.03,-0.03,1.46,0.03,-0.03,3.61276470,Transit,7598.00,10.4840000,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,KELT-North,Transit
KELT-23 A,14.830,0.280,-0.280,298.12454,15.25584,-13.98452,0.13650,0.00100,-0.00100,1.00,0.01,-0.01,0.94,0.06,-0.05,2.25525100,Transit,5899.00,10.3080000,<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>,KELT-North,Transit
KELT-24,14.258,0.235,-0.235,1646.35940,66.74430,-69.92260,0.08677,0.00071,-0.00070,1.51,0.02,-0.02,1.46,0.06,-0.06,5.55149260,Transit,6509.00,8.3400000,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,KELT-North,Transit
KELT-3,17.486,1.233,-1.233,616.59020,104.88390,-104.88390,,,,1.70,0.12,-0.12,1.96,0.50,-0.50,2.70339000,Transit,6304.00,9.8160000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT,Transit
KELT-4 A,19.044,0.516,-0.504,286.68266,19.06980,-18.75197,0.10893,0.00054,-0.00054,1.60,0.04,-0.04,1.20,0.07,-0.06,2.98959320,Transit,6206.00,9.9800000,<a refstr=EASTMAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151...45E/abstract target=ref>Eastman et al. 2016</a>,KELT,Transit
KELT-6,14.572,1.009,-1.009,165.27160,38.13960,-38.13960,,,,1.73,0.12,-0.12,1.42,0.46,-0.46,7.84570000,Transit,6102.00,10.3710000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT,Mixed
KELT-6,,,,1179.14930,66.74430,-66.74430,,,,1.53,0.14,-0.14,1.13,0.06,-0.06,1276.00000000,Radial Velocity,6272.00,10.3710000,<a refstr=DAMASSO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...581L...6D/abstract target=ref>Damasso et al. 2015</a>,Multiple Observatories,Mixed
KELT-7,17.934,0.673,-0.673,441.78370,69.92260,-69.92260,,,,1.81,0.07,-0.07,1.76,0.25,-0.25,2.73477000,Transit,6768.00,8.5600000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT,Transit
KELT-8,18.159,1.121,-1.121,209.76780,38.13960,-38.13960,,,,1.46,0.08,-0.08,0.81,0.21,-0.21,3.24406000,Transit,5754.00,10.8450000,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,KELT,Transit
KELT-9,21.196,0.684,-0.594,915.35040,266.97720,-266.97720,0.08228,0.00043,-0.00043,2.36,0.07,-0.06,2.52,0.25,-0.20,1.48112350,Transit,10170.00,7.5500000,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,KELT-North,Transit
KIC 10525077,5.500,0.900,-0.800,,,,0.05000,0.00300,-0.00300,1.01,0.10,-0.10,1.01,0.12,-0.12,854.08300000,Transit,6091.00,15.5920000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KIC 3558849,6.900,1.000,-0.900,,,,0.06300,0.00200,-0.00200,1.01,0.11,-0.11,0.98,0.11,-0.11,1322.30000000,Transit,6175.00,14.3200000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KIC 5437945,6.400,1.600,-1.600,,,,0.04700,0.00100,-0.00100,1.24,0.29,-0.29,1.07,0.17,-0.17,440.78130000,Transit,6340.00,13.8340000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KIC 5951458,6.600,26.300,-4.200,,,,0.04000,0.08900,-0.00800,1.52,0.82,-0.82,0.98,0.21,-0.21,1320.10000000,Transit,6258.00,12.8360000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KOI-7892,4.100,2.200,-1.900,,,,0.03000,0.00200,-0.00200,1.26,0.56,-0.56,1.04,0.20,-0.20,31.80990000,Transit,6474.00,14.4110000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KOI-7892,2.400,1.900,-1.400,,,,0.01800,0.00400,-0.00500,1.26,0.56,-0.56,1.04,0.20,-0.20,75.20000000,Transit,6474.00,14.4110000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KIC 9663113,4.600,0.600,-0.700,,,,0.04100,0.00100,-0.00100,1.03,0.12,-0.12,0.98,0.13,-0.13,572.38470000,Transit,6065.00,14.0270000,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,Kepler,Transit
KOI-12,13.787,0.673,-0.560,349.61300,1112.40500,-254.26400,,,,1.40,0.07,-0.06,1.50,0.10,-0.10,17.85518200,Transit,,11.5100000,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,Kepler,Mixed
KOI-1257,10.540,1.350,-1.350,460.83000,111.24000,-111.24000,,,,1.13,0.14,-0.14,0.99,0.05,-0.05,86.64766100,Transit,5520.00,14.8180000,<a refstr=SANTERNE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...571A..37S/abstract target=ref>Santerne et al. 2014</a>,Kepler,Transit
KOI-13,16.948,0.392,-0.392,2949.46240,50.85280,-50.85280,0.08737,0.00002,-0.00002,1.74,0.04,-0.04,1.72,0.10,-0.10,1.76358800,Transit,7650.00,10.4007000,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Kepler,Transit
KOI-142,3.438,0.075,-0.075,9.50000,1.10000,-1.10000,0.03515,0.00018,-0.00018,0.90,0.02,-0.02,0.99,0.02,-0.02,10.91647000,Transit,5466.00,13.2090000,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,Kepler,Mixed
KOI-142,,,,214.10000,5.20000,-5.20000,,,,0.90,0.02,-0.02,0.99,0.02,-0.02,22.26492000,Transit,5466.00,13.2090000,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,Kepler,Mixed
