starname,rp,rp_err1,rp_err2,mp,mp_err1,mp_err2,ror,ror_err1,ror_err2,rs,rs_err1,rs_err2,ms,ms_err1,ms_err2,p,disc_method,temp,mag,ref,instrument,system_disc_method
CoRoT-17,11.430,0.780,-0.780,772.29000,95.34000,-95.34000,,,,1.59,0.07,-0.07,1.04,0.10,-0.10,3.76810000,Transit,5740.00,16.2900000,<a refstr=CSIZMADIA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...531A..41C/abstract target=ref> Csizmadia et al. 2011 </a>,CoRoT,Transit
CoRoT-18,14.680,2.020,-2.020,1102.82000,120.77000,-120.77000,0.13410,0.00190,-0.00190,1.00,0.13,-0.13,0.95,0.15,-0.15,1.90006930,Transit,5440.00,14.8680000,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,CoRoT,Transit
CoRoT-19,14.460,0.340,-0.340,352.78000,19.07000,-19.07000,0.07860,0.00040,-0.00040,1.65,0.04,-0.04,1.21,0.05,-0.05,3.89713000,Transit,6090.00,14.1350000,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,CoRoT,Transit
CoRoT-2,16.432,0.471,-0.493,1102.82000,69.92000,-69.92000,,,,0.91,0.03,-0.03,0.96,0.08,-0.08,1.74299350,Transit,5625.00,12.5160000,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,CoRoT,Transit
CoRoT-20,,,,1366.66900,63.56600,-63.56600,,,,,,,1.14,0.08,-0.08,9.24285000,Transit,,14.6300000,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180701229R/abstract target=ref>Rey et al. 2018</a>,CoRoT,Mixed
CoRoT-20,,,,5403.11000,317.83000,-317.83000,,,,,,,1.14,0.08,-0.08,1675.00000000,Radial Velocity,,14.6300000,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180701229R/abstract target=ref>Rey et al. 2018</a>,Multiple Observatories,Mixed
CoRoT-21,14.572,1.569,-1.569,718.29580,98.52730,-98.52730,0.06700,0.00180,-0.00180,1.95,0.21,-0.21,1.29,0.09,-0.09,2.72474000,Transit,6200.00,16.0580000,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,CoRoT,Transit
CoRoT-22,4.880,0.170,-0.390,12.20000,14.00000,-8.80000,0.03927,0.00060,-0.00037,1.14,0.04,-0.09,1.10,0.05,-0.05,9.75598000,Transit,5939.00,13.8200000,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,CoRoT,Transit
CoRoT-23,11.770,1.460,-1.460,889.90000,95.30000,-95.30000,0.06710,0.00100,-0.00100,1.61,0.18,-0.18,1.14,0.08,-0.08,3.63130000,Transit,5900.00,15.6750000,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,CoRoT,Transit
CoRoT-24,3.700,0.400,-0.400,5.70000,,,0.03700,0.00210,-0.00210,0.86,0.09,-0.09,0.91,0.09,-0.09,5.11340000,Transit,4950.00,15.3830000,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,CoRoT,Transit
CoRoT-24,5.000,0.500,-0.500,28.00000,11.00000,-11.00000,0.05000,0.00100,-0.00100,0.86,0.09,-0.09,0.91,0.09,-0.09,11.75900000,Transit,4950.00,15.3830000,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,CoRoT,Transit
CoRoT-25,12.110,3.400,-1.120,85.81000,12.71000,-12.71000,0.08500,0.02600,-0.00200,1.19,0.14,-0.03,1.09,0.11,-0.05,4.86069000,Transit,6040.00,14.7900000,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,CoRoT,Transit
CoRoT-26,14.120,1.460,-0.780,165.26000,15.89000,-15.89000,0.07180,0.00100,-0.00100,1.79,0.18,-0.09,1.09,0.06,-0.06,4.20474000,Transit,5590.00,15.8610000,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,CoRoT,Transit
CoRoT-27,11.287,0.493,-0.493,3302.11000,174.80000,-174.80000,0.09900,0.00200,-0.00200,1.08,0.18,-0.06,1.05,0.11,-0.11,3.57532000,Transit,5900.00,15.7740000,<a refstr=PARVIAINEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.140P/abstract target=ref> Parviainen et al. 2014 </a>,CoRoT,Transit
CoRoT-28,10.705,0.740,-0.740,153.82972,27.65121,-27.65121,0.05510,0.00040,-0.00040,1.78,0.11,-0.11,1.01,0.14,-0.14,5.20851000,Transit,5150.00,13.7830000,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,CoRoT,Transit
CoRoT-29,10.088,1.793,-1.793,270.15550,63.56600,-63.56600,0.10280,0.00430,-0.00430,0.90,0.12,-0.12,0.97,0.14,-0.14,2.85057000,Transit,5260.00,15.4080000,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,CoRoT,Transit
