kepid,ra,ra_err,dec,dec_err,ra_str,dec_str,kepoi_name,kepler_name,alt_name,tm_designation,koi_list_flag,last_update
10722485,288.232700,0.000000,48.002178,0.000000,19h12m55.85s,+48d00m07.8s,K04312.01,Kepler-1588 b,Kepler-1588 b,2MASS J19125585+4800078,YES,2016-05-10
12019440,294.996310,0.000000,50.470058,0.000000,19h39m59.11s,+50d28m12.2s,K00186.01,Kepler-485 b,Kepler-485 b,2MASS J19395911+5028122,YES,2016-05-10
11391018,284.879970,0.000000,49.266991,0.000000,18h59m31.19s,+49d16m01.2s,K00189.01,Kepler-486 b,Kepler-486 b,2MASS J18593119+4916011,YES,2016-05-10
5972334,295.287230,0.000000,41.221958,0.000000,19h41m08.94s,+41d13m19.0s,K00191.01,Kepler-487 b,Kepler-487 b,2MASS J19410893+4113190,YES,2016-05-10
10904857,282.966160,0.000000,48.345070,0.000000,18h51m51.88s,+48d20m42.3s,K00194.01,Kepler-488 b,Kepler-488 b,2MASS J18515188+4820422,YES,2016-05-10
10019708,295.025670,0.000000,46.956001,0.000000,19h40m06.16s,+46d57m21.6s,K00199.01,Kepler-490 b,Kepler-490 b,2MASS J19400616+4657216,YES,2016-05-10
7046804,295.496670,0.000000,42.537891,0.000000,19h41m59.20s,+42d32m16.4s,K00205.01,Kepler-492 b,Kepler-492 b,2MASS J19415919+4232163,YES,2016-05-10
3762468,295.307530,0.000000,38.881641,0.000000,19h41m13.81s,+38d52m53.9s,K00208.01,Kepler-493 b,Kepler-493 b,2MASS J19411380+3852539,YES,2016-05-10
3847907,290.765870,0.000000,38.927959,0.000000,19h23m03.81s,+38d55m40.7s,K00229.01,Kepler-497 b,Kepler-497 b,2MASS J19230381+3855406,YES,2016-05-10
8491277,290.358150,0.000000,44.518749,0.000000,19h21m25.96s,+44d31m07.5s,K00234.01,Kepler-498 b,Kepler-498 b,2MASS J19212595+4431075,YES,2016-05-10
8107225,295.109950,0.000000,43.915211,0.000000,19h40m26.39s,+43d54m54.8s,K00235.01,Kepler-499 b,Kepler-499 b,2MASS J19402638+4354547,YES,2016-05-10
6383785,297.201540,0.000000,41.730209,0.000000,19h48m48.37s,+41d43m48.8s,K00239.01,Kepler-501 b,Kepler-501 b,2MASS J19484837+4143487,YES,2016-05-10
8026752,291.080140,0.000000,43.860199,0.000000,19h24m19.23s,+43d51m36.7s,K00240.01,Kepler-502 b,Kepler-502 b,2MASS J19241923+4351367,YES,2016-05-10
9390653,284.921840,0.000000,45.972401,0.000000,18h59m41.24s,+45d58m20.6s,K00249.01,Kepler-504 b,Kepler-504 b,2MASS J18594123+4558206,YES,2016-05-10
7021681,287.858120,0.000000,42.542629,0.000000,19h11m25.95s,+42d32m33.5s,K00255.01,Kepler-505 b,Kepler-505 b,2MASS J19112594+4232334,YES,2016-05-10
12024120,297.018830,0.000000,50.408981,0.000000,19h48m04.52s,+50d24m32.3s,K00265.01,Kepler-507 b,Kepler-507 b,2MASS J19480452+5024323,YES,2016-05-10
11133306,289.664400,0.000000,48.706211,0.000000,19h18m39.46s,+48d42m22.4s,K00276.01,Kepler-509 b,Kepler-509 b,2MASS J19183945+4842223,YES,2016-05-10
10386922,282.945650,0.000000,47.574905,0.000000,18h51m46.96s,+47d34m29.7s,K00289.02,Kepler-511 b,Kepler-511 b,2MASS J18514696+4734295,YES,2016-05-10
8490993,290.263280,0.000000,44.556450,0.000000,19h21m03.19s,+44d33m23.2s,K00911.02,Kepler-722 c,Kepler-722 c,2MASS J19210318+4433232,YES,2016-05-10
8544996,284.830470,0.000000,44.658138,0.000000,18h59m19.31s,+44d39m29.3s,K00913.01,Kepler-723 b,Kepler-723 b,2MASS J18591931+4439293,YES,2016-05-10
8826878,294.846890,0.000000,45.034409,0.000000,19h39m23.25s,+45d02m03.9s,K00922.01,Kepler-727 b,Kepler-727 b,2MASS J19392325+4502038,YES,2016-05-10
8883593,291.092350,0.000000,45.115528,0.000000,19h24m22.16s,+45d06m55.9s,K00923.01,Kepler-728 b,Kepler-728 b,2MASS J19242216+4506559,YES,2016-05-10
9141746,285.554810,0.000000,45.578861,0.000000,19h02m13.15s,+45d34m43.9s,K00929.01,Kepler-730 b,Kepler-730 b,2MASS J19021315+4534438,YES,2016-05-10
9166862,296.393160,0.000000,45.568562,0.000000,19h45m34.36s,+45d34m06.8s,K00931.01,Kepler-731 b,Kepler-731 b,2MASS J19453436+4534068,YES,2016-05-10
9388479,283.732030,0.000000,45.958771,0.000000,18h54m55.69s,+45d57m31.6s,K00936.01,Kepler-732 b,Kepler-732 b,2MASS J18545568+4557315,YES,2016-05-10
9388479,283.732030,0.000000,45.958771,0.000000,18h54m55.69s,+45d57m31.6s,K00936.02,Kepler-732 c,Kepler-732 c,2MASS J18545568+4557315,YES,2016-05-10
5474613,298.373840,0.000000,40.618420,0.000000,19h53m29.72s,+40d37m06.3s,K01599.02,Kepler-1659 b,KOI-1599.02,2MASS J19532972+4037063,YES,2019-04-04
9406990,293.018280,0.000000,45.914688,0.000000,19h32m04.39s,+45d54m52.9s,K00937.01,Kepler-733 b,Kepler-733 b,2MASS J19320438+4554528,YES,2016-05-10
9512687,284.688870,0.000000,46.172249,0.000000,18h58m45.33s,+46d10m20.1s,K00942.01,Kepler-735 b,Kepler-735 b,2MASS J18584533+4610200,YES,2016-05-10
9513865,285.391330,0.000000,46.180939,0.000000,19h01m33.92s,+46d10m51.4s,K00943.01,Kepler-736 b,Kepler-736 b,2MASS J19013391+4610513,YES,2016-05-10
9710326,291.862850,0.000000,46.429260,0.000000,19h27m27.08s,+46d25m45.3s,K00947.01,Kepler-737 b,Kepler-737 b,2MASS J19272708+4625453,YES,2016-05-10
9761882,287.569670,0.000000,46.567860,0.000000,19h10m16.72s,+46d34m04.3s,K00948.01,Kepler-738 b,Kepler-738 b,2MASS J19101671+4634042,YES,2016-05-10
