Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
K00707,2.546,7.467089611598893,13.17556672,1.609,1.208,0.176,Transit,cks,Transit
K00707,1.467,3.5189477547157146,5.66815436,1.609,1.208,0.176,Transit,cks,Transit
K00708,3.745,15.415955436616738,17.40665938,1.545,1.126,0.22,Transit,cks,Transit
K00708,2.867,9.267506004914004,7.69364042,1.545,1.126,0.22,Transit,cks,Transit
K00711,2.928,6.096673004926279,44.699504,1.037,1.067,0.039,Transit,cks,Transit
K00711,1.696,5.212592684123873,3.619312195,1.037,1.067,0.039,Transit,cks,Transit
K00711,2.741,5.079128785115749,124.5244647,1.037,1.067,0.039,Transit,cks,Transit
K00717,1.909,6.610689893528994,14.70748976,1.191,1.05,0.062,Transit,cks,Transit
K00717,0.758,0.3876667533555894,0.900376476,1.191,1.05,0.062,Transit,cks,Transit
K00718,2.306,8.467972706759534,4.585466823,1.161,1.164,0.137,Transit,cks,Transit
K00718,2.799,6.470188815989233,22.71444582,1.161,1.164,0.137,Transit,cks,Transit
K00718,2.232,5.516130041712712,47.9035211,1.161,1.164,0.137,Transit,cks,Transit
K00720,2.808,7.289661471129162,5.690584519,0.767,0.854,0.136,Transit,cks,Transit
K00720,2.572,6.003487624233568,10.041568521,0.767,0.854,0.136,Transit,cks,Transit
K00720,2.482,5.8352980814808095,18.3697231,0.767,0.854,0.136,Transit,cks,Transit
K00720,1.524,3.922192954700755,2.795894073,0.767,0.854,0.136,Transit,cks,Transit
K00723,3.028,8.995864008595717,3.936993706,0.801,0.933,0.066,Transit,cks,Transit
K00723,3.563,13.385866821450353,28.08194365,0.801,0.933,0.066,Transit,cks,Transit
K00723,4.576,18.036060476016768,10.088796973,0.801,0.933,0.066,Transit,cks,Transit
K00730,5.913,30.469127122560213,14.78769446,1.574,1.041,0.133,Transit,cks,Transit
K00730,4.349,14.502521239352983,9.8482024,1.574,1.041,0.133,Transit,cks,Transit
K00730,2.823,9.174257111757756,7.38441403,1.574,1.041,0.133,Transit,cks,Transit
K00732,3.232,12.38663665907098,1.260259094,0.838,0.931,0.152,Transit,cks,Transit
K00732,1.029,1.0106700672242535,3.29534933,0.838,0.931,0.152,Transit,cks,Transit
K00732,1.144,1.460183487286494,5.25448795,0.838,0.931,0.152,Transit,cks,Transit
K00733,3.291,9.913648647208099,5.924991308,0.693,0.777,0.091,Transit,cks,Transit
K00733,2.532,5.533901768761118,11.34933733,0.693,0.777,0.091,Transit,cks,Transit
K00733,1.489,3.5603229831955665,3.132951625,0.693,0.777,0.091,Transit,cks,Transit
K00733,1.984,5.432969426337543,18.643516,0.693,0.777,0.091,Transit,cks,Transit
K00749,2.883,8.11145531914627,5.34955671,0.861,0.904,0.093,Transit,cks,Transit
K00749,1.696,5.13273677304325,3.94104632,0.861,0.904,0.093,Transit,cks,Transit
K00749,1.273,2.1747141754436368,8.10904671,0.861,0.904,0.093,Transit,cks,Transit
K00752,2.749,6.948424542239783,9.48803146,0.925,0.954,0.211,Transit,cks,Transit
K00752,2.756,5.422983873054708,54.418464,0.925,0.954,0.211,Transit,cks,Transit
K00756,4.562,21.05942034320101,11.09431923,1.104,1.006,0.184,Transit,cks,Transit
K00756,3.423,12.378801738396401,4.13443005,1.104,1.006,0.184,Transit,cks,Transit
K00756,1.769,5.894375970806962,2.56659092,1.104,1.006,0.184,Transit,cks,Transit
K00757,5.023,25.427465900148672,16.06862959,0.706,0.808,0.076,Transit,cks,Transit
K00757,3.448,11.660040413440116,41.1970874,0.706,0.808,0.076,Transit,cks,Transit
K00757,2.288,6.175030709797005,6.252964898,0.706,0.808,0.076,Transit,cks,Transit
K00800,3.975,16.5540364733666,2.711502579,1.171,1.129,0.238,Transit,cks,Transit
K00800,3.86,15.763645118194617,7.21204152,1.171,1.129,0.238,Transit,cks,Transit
K00806,8.845,66.92660668037239,143.2063518,0.819,0.945,0.028,Transit,cks,Transit
K00806,12.159,165.80715746213502,60.32488611,0.819,0.945,0.028,Transit,cks,Transit
K00806,1.803,5.861787288043116,29.1598615,0.819,0.945,0.028,Transit,cks,Transit
K00825,2.358,5.78634977710185,8.10361363,0.759,0.829,0.09,Transit,cks,Transit
K00825,1.556,3.8763635461501114,4.71510365,0.759,0.829,0.09,Transit,cks,Transit
K00834,9.291,73.1971684219822,23.65368621,1.567,1.229,0.172,Transit,cks,Transit
K00834,3.502,13.279207577175548,13.23356008,1.567,1.229,0.172,Transit,cks,Transit
K00834,3.052,10.430358997053428,6.15555756,1.567,1.229,0.172,Transit,cks,Transit
K00834,1.706,5.55820470055586,2.09081565,1.567,1.229,0.172,Transit,cks,Transit
K00834,3.481,9.243276638688316,50.4473156,1.567,1.229,0.172,Transit,cks,Transit
K00835,2.436,5.616877079942923,11.76305946,0.759,0.831,0.062,Transit,cks,Transit
K00835,2.263,4.820966565156239,56.2279697,0.759,0.831,0.062,Transit,cks,Transit
K00837,2.247,5.875645837707161,7.95355717,0.748,0.868,0.061,Transit,cks,Transit
K00837,1.502,3.568326318178249,4.14451776,0.748,0.868,0.061,Transit,cks,Transit
K00853,2.478,5.687266389843277,8.2039687,0.673,0.748,0.109,Transit,cks,Transit
K00853,2.298,6.274922012527947,14.49643531,0.673,0.748,0.109,Transit,cks,Transit
K00857,2.493,6.519208476854947,5.71542485,0.815,0.904,0.055,Transit,cks,Transit
K00857,1.741,4.713154873733693,20.026231,0.815,0.904,0.055,Transit,cks,Transit
K00869,2.654,6.440975117427591,7.49017229,0.78,0.856,0.127,Transit,cks,Transit
K00869,3.125,7.410811601767477,36.27594657,0.78,0.856,0.127,Transit,cks,Transit
K00869,2.26,5.528532986861148,17.46085263,0.78,0.856,0.127,Transit,cks,Transit
K00869,1.712,5.250602342426358,3.219821056,0.78,0.856,0.127,Transit,cks,Transit
K00872,7.57,51.31842538007259,33.60122066,0.797,0.883,0.037,Transit,cks,Transit
K00872,1.857,5.714489436953878,6.76652078,0.797,0.883,0.037,Transit,cks,Transit
K00874,2.21,6.898450967428655,4.601816855,0.757,0.853,0.067,Transit,cks,Transit
K00874,1.453,2.9956861704913633,11.18714042,0.757,0.853,0.067,Transit,cks,Transit
K00880,4.225,18.221904032945233,26.44435456,0.835,0.946,0.118,Transit,cks,Transit
K00880,5.492,28.89429091736632,51.53998542,0.835,0.946,0.118,Transit,cks,Transit
K00880,2.3,6.6776705113197465,5.902246921,0.835,0.946,0.118,Transit,cks,Transit
K00880,1.594,4.476395771361147,2.382952186,0.835,0.946,0.118,Transit,cks,Transit
K00884,4.325,19.902920009571112,9.439460801,0.788,0.887,0.047,Transit,cks,Transit
K00884,4.974,24.084363875040594,20.47735749,0.788,0.887,0.047,Transit,cks,Transit
K00884,1.641,4.707354645739437,3.336125104,0.788,0.887,0.047,Transit,cks,Transit
K00892,2.712,5.982513428173228,10.37168453,0.73,0.795,0.085,Transit,cks,Transit
K00892,1.335,2.4768006859837235,3.96994893,0.73,0.795,0.085,Transit,cks,Transit
K00906,2.269,6.163470271401234,7.15681773,0.748,0.806,0.089,Transit,cks,Transit
K00906,2.098,5.463375983685461,17.64830992,0.748,0.806,0.089,Transit,cks,Transit
K00906,1.087,1.2259694401016583,4.14808732,0.748,0.806,0.089,Transit,cks,Transit
K00921,2.734,6.10825831462704,10.28192877,0.799,0.86,0.066,Transit,cks,Transit
K00921,3.199,7.2779157239313435,18.11989364,0.799,0.86,0.066,Transit,cks,Transit
K00921,1.71,5.127559687631224,3.78403393,0.799,0.86,0.066,Transit,cks,Transit
K00934,3.745,14.043551411494146,5.826659194,0.902,0.849,0.107,Transit,cks,Transit
K00934,2.32,6.459405929285516,12.41217869,0.902,0.849,0.107,Transit,cks,Transit
K00934,2.653,6.179376064318831,18.74653971,0.902,0.849,0.107,Transit,cks,Transit
K00935,5.496,29.541786343390545,20.86021267,1.211,1.038,0.239,Transit,cks,Transit
K00935,5.204,26.52116728206847,42.63416177,1.211,1.038,0.239,Transit,cks,Transit
K00935,4.23,18.758562258706323,87.6475334,1.211,1.038,0.239,Transit,cks,Transit
K00935,1.822,5.78910589103047,9.61730282,1.211,1.038,0.239,Transit,cks,Transit
K00939,1.783,5.306500234973265,3.388011854,0.963,1.037,0.184,Transit,cks,Transit
K00939,1.645,4.660099033773679,5.83908991,0.963,1.037,0.184,Transit,cks,Transit
K00939,1.363,2.6648984532495152,1.620467836,0.963,1.037,0.184,Transit,cks,Transit
K00939,1.799,6.087335141044528,10.68167916,0.963,1.037,0.184,Transit,cks,Transit
K00941,3.932,17.03299951099372,6.581478842,0.801,0.916,0.099,Transit,cks,Transit
K00941,2.201,8.411168612247963,2.382652169,0.801,0.916,0.099,Transit,cks,Transit
K00941,4.664,21.67152054908704,24.66459711,0.801,0.916,0.099,Transit,cks,Transit
K00954,2.704,7.307934573000553,8.11529219,0.897,0.867,0.109,Transit,cks,Transit
K00954,2.741,5.530509432588875,36.9249531,0.897,0.867,0.109,Transit,cks,Transit
K00986,2.303,6.412247411565392,8.1874109,0.917,1.013,0.07,Transit,cks,Transit
K00986,1.779,5.300636085437405,76.0510651,0.917,1.013,0.07,Transit,cks,Transit
K00988,2.161,5.7599759357202736,10.38123451,0.749,0.834,0.04,Transit,cks,Transit
K00988,2.038,6.102584312261948,24.57081569,0.749,0.834,0.04,Transit,cks,Transit
K00993,1.624,4.939957730504593,21.8536791,0.816,0.816,0.095,Transit,cks,Transit
K00993,1.38,2.4985978082253344,13.06076688,0.816,0.816,0.095,Transit,cks,Transit
K01001,3.978,16.162467042696797,40.8068494,1.957,1.426,0.25,Transit,cks,Transit
K01001,3.403,6.573648321567709,140.10394,1.957,1.426,0.25,Transit,cks,Transit
K01015,3.443,13.095296815965984,9.42887179,1.363,1.002,0.26,Transit,cks,Transit
K01015,1.841,6.7473100476157075,4.08899022,1.363,1.002,0.26,Transit,cks,Transit
K01015,2.22,6.549303962734737,16.9974474,1.363,1.002,0.26,Transit,cks,Transit
K01050,1.896,6.6297037015688405,1.269090374,0.821,0.829,0.154,Transit,cks,Transit
K01050,1.376,2.7841463755378193,2.853133644,0.821,0.829,0.154,Transit,cks,Transit
K01052,2.315,5.862320846062697,17.02902105,0.945,0.97,0.174,Transit,cks,Transit
K01052,1.592,4.2360410848182175,6.84619299,0.945,0.97,0.174,Transit,cks,Transit
K01052,2.26,5.0353795055638315,67.8318309,0.945,0.97,0.174,Transit,cks,Transit
K01052,2.111,5.309238389936748,43.1308082,0.945,0.97,0.174,Transit,cks,Transit
K01060,2.623,6.480937053949697,12.1097104,1.518,1.13,0.257,Transit,cks,Transit
K01060,1.857,6.984398022820217,4.75793986,1.518,1.13,0.257,Transit,cks,Transit
K01060,2.256,6.225827527157328,20.4966197,1.518,1.13,0.257,Transit,cks,Transit
K01060,1.655,4.975979005256985,8.1934719,1.518,1.13,0.257,Transit,cks,Transit
K01069,3.043,8.229233631758621,8.70419416,0.847,0.93,0.097,Transit,cks,Transit
K01069,1.519,3.842362590754418,2.46697439,0.847,0.93,0.097,Transit,cks,Transit
K01089,10.194,86.36308452980107,86.67855186,1.077,1.072,0.21,Transit,cks,Transit
K01089,4.903,23.382002180954586,12.218278,1.077,1.072,0.21,Transit,cks,Transit
K01102,3.098,7.672230500460928,8.14511872,1.084,1.046,0.148,Transit,cks,Transit
K01102,2.353,6.1065464667700216,18.99850923,1.084,1.046,0.148,Transit,cks,Transit
K01102,1.6,4.254709815047301,4.24437621,1.084,1.046,0.148,Transit,cks,Transit
K01113,2.581,6.138588528110008,25.9340674,1.242,1.109,0.272,Transit,cks,Transit
K01113,2.773,5.484217439575421,83.4463335,1.242,1.109,0.272,Transit,cks,Transit
K01127,4.345,19.031370092541096,5.32670215,1.633,1.171,0.134,Transit,cks,Transit
K01127,2.864,8.807224015358564,8.12810877,1.633,1.171,0.134,Transit,cks,Transit
