Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
Kepler-325,2.8530623136085387,,4.54443900,1.00,,,Transit,Exoarchive,Transit
Kepler-325,2.4909428661120705,,12.76217200,1.00,,,Transit,Exoarchive,Transit
Kepler-325,2.732355831109716,,38.71518500,1.00,,,Transit,Exoarchive,Transit
Kepler-326,1.4923710563490817,,2.24832900,0.80,,,Transit,Exoarchive,Transit
Kepler-326,1.371664573850259,,4.58035800,0.80,,,Transit,Exoarchive,Transit
Kepler-326,1.1851181918066238,,6.76688800,0.80,,,Transit,Exoarchive,Transit
Kepler-327,1.0863583424894052,,2.54957500,0.49,,,Transit,Exoarchive,Transit
Kepler-327,1.0095451263537907,,5.21233300,0.49,,,Transit,Exoarchive,Transit
Kepler-327,1.6898907549835191,,13.96945700,0.49,,,Transit,Exoarchive,Transit
Kepler-328,2.2495299011144247,28.603482920294706,34.92100000,1.00,1.10,,Transit,Exoarchive,Transit
Kepler-328,5.289138596766598,39.40924313462826,71.31200000,1.00,1.10,,Transit,Exoarchive,Transit
Kepler-329,1.371664573850259,,7.41639700,0.52,,,Transit,Exoarchive,Transit
Kepler-329,1.8874104536179561,,18.68473700,0.52,,,Transit,Exoarchive,Transit
Kepler-33,1.700864071574321,,5.66793000,1.82,1.29,0.06,Transit,Exoarchive,Transit
Kepler-33,3.1273952283785906,,13.17562000,1.82,1.29,0.06,Transit,Exoarchive,Transit
Kepler-33,5.234272013812588,,21.77596000,1.82,1.29,0.06,Transit,Exoarchive,Transit
Kepler-33,3.9394206560979437,,31.78440000,1.82,1.29,0.06,Transit,Exoarchive,Transit
Kepler-33,4.367380003139225,,41.02902000,1.82,1.29,0.06,Transit,Exoarchive,Transit
Kepler-330,1.3167979908962486,,8.25978000,0.72,,,Transit,Exoarchive,Transit
Kepler-330,1.9093570867995604,,15.95538700,0.72,,,Transit,Exoarchive,Transit
Kepler-331,1.7776772877099356,,8.45749600,0.49,,,Transit,Exoarchive,Transit
Kepler-331,1.7996239208915399,,17.28111000,0.49,,,Transit,Exoarchive,Transit
Kepler-331,1.6021042222571025,,32.13432800,0.49,,,Transit,Exoarchive,Transit
Kepler-332,1.1412249254434155,,7.62632400,0.72,,,Transit,Exoarchive,Transit
Kepler-332,1.064411709307801,,15.99562200,0.72,,,Transit,Exoarchive,Transit
Kepler-332,1.1521982420342176,,34.21154000,0.72,,,Transit,Exoarchive,Transit
Kepler-333,1.2948513577146445,,12.55115800,0.53,,,Transit,Exoarchive,Transit
Kepler-333,1.0863583424894052,,24.08821000,0.53,,,Transit,Exoarchive,Transit
Kepler-334,1.0973316590802071,,5.47031900,1.07,,,Transit,Exoarchive,Transit
Kepler-334,1.4045845236226653,,12.75800500,1.07,,,Transit,Exoarchive,Transit
Kepler-334,1.382637890441061,,25.09849000,1.07,,,Transit,Exoarchive,Transit
Kepler-335,3.313941610422226,,6.56233100,1.85,,,Transit,Exoarchive,Transit
Kepler-335,3.0066887458797678,,67.84446900,1.85,,,Transit,Exoarchive,Transit
Kepler-336,0.9985718097629885,,2.02482300,1.30,,,Transit,Exoarchive,Transit
Kepler-336,2.0520102024799876,,9.60000100,1.30,,,Transit,Exoarchive,Transit
Kepler-336,2.315369800659237,,20.67877200,1.30,,,Transit,Exoarchive,Transit
Kepler-337,1.5033443729398839,,3.29278100,1.76,,,Transit,Exoarchive,Transit
Kepler-337,2.008116936116779,,9.69320100,1.76,,,Transit,Exoarchive,Transit
Kepler-338,2.3921830167948515,,13.72697600,1.74,,,Transit,Exoarchive,Mixed
Kepler-338,2.293423167477633,,24.31085600,1.74,,,Transit,Exoarchive,Mixed
Kepler-338,2.9408488463349554,,44.43101400,1.74,,,Transit,Exoarchive,Mixed
Kepler-338,1.525291006121488,8.581044876088411,9.34100000,1.74,,,Transit Timing Variations,Exoarchive,Mixed
Kepler-339,1.3936112070318631,,4.97765600,0.80,,,Transit,Exoarchive,Transit
Kepler-339,1.1302516088526133,,6.98805500,0.80,,,Transit,Exoarchive,Transit
Kepler-339,1.1412249254434155,,10.55834500,0.80,,,Transit,Exoarchive,Transit
Kepler-34,8.383613875372783,69.91962491627595,288.82200000,1.16,1.05,0.00,Transit,Exoarchive,Transit
Kepler-340,2.479969549521268,,14.84438700,1.85,,,Transit,Exoarchive,Transit
Kepler-340,3.3029682938314235,,22.82466900,1.85,,,Transit,Exoarchive,Transit
Kepler-341,1.1521982420342176,,5.19552800,1.02,,,Transit,Exoarchive,Transit
Kepler-341,1.6679441218019149,,8.01041000,1.02,,,Transit,Exoarchive,Transit
Kepler-341,1.8105972374823418,,27.66631300,1.02,,,Transit,Exoarchive,Transit
Kepler-341,1.9532503531627687,,42.47326900,1.02,,,Transit,Exoarchive,Transit
Kepler-342,2.2056366347512166,,15.17031800,1.47,,,Transit,Exoarchive,Transit
Kepler-342,1.9203304033903625,,26.23413800,1.47,,,Transit,Exoarchive,Transit
Kepler-342,2.43607628315806,,39.45935700,1.47,,,Transit,Exoarchive,Transit
Kepler-342,0.8668920106733636,,1.64422461,1.47,,,Transit,Exoarchive,Transit
Kepler-343,2.3592630670224453,,8.96855000,1.43,,,Transit,Exoarchive,Transit
Kepler-343,1.975196986344373,,23.22182000,1.43,,,Transit,Exoarchive,Transit
Kepler-344,2.556782765656883,,21.96394500,0.98,,,Transit,Exoarchive,Transit
Kepler-344,2.885982263380945,,125.59680900,0.98,,,Transit,Exoarchive,Transit
Kepler-345,0.7242388949929367,,7.41556300,0.62,,,Transit,Exoarchive,Transit
Kepler-345,1.1741448752158217,,9.38742700,0.62,,,Transit,Exoarchive,Transit
Kepler-346,2.600676032020091,,6.51112700,1.02,,,Transit,Exoarchive,Transit
Kepler-346,3.0066887458797678,,23.85154900,1.02,,,Transit,Exoarchive,Transit
Kepler-347,1.9313037199811647,,12.79836000,1.00,,,Transit,Exoarchive,Transit
Kepler-347,1.7118373881651232,,27.32087100,1.00,,,Transit,Exoarchive,Transit
Kepler-348,1.4923710563490817,,7.05677000,1.36,,,Transit,Exoarchive,Transit
Kepler-348,1.3058246743054465,,17.26542700,1.36,,,Transit,Exoarchive,Transit
Kepler-349,1.8654638204363523,,5.92977800,0.93,,,Transit,Exoarchive,Transit
Kepler-349,1.9203304033903625,,12.24762900,0.93,,,Transit,Exoarchive,Transit
Kepler-35,7.988574478103908,40.36269256530475,131.45800000,1.03,0.89,0.01,Transit,Exoarchive,Transit
Kepler-350,1.8105972374823418,,11.18956200,1.53,,,Transit,Exoarchive,Transit
Kepler-350,3.039608695652174,6.038513060951105,17.84900000,1.53,,,Transit,Exoarchive,Transit
Kepler-350,2.743329147700518,14.937374413931678,26.13600000,1.53,,,Transit,Exoarchive,Transit
Kepler-351,2.995715429288966,,37.05491900,0.85,,,Transit,Exoarchive,Transit
Kepler-351,3.1273952283785906,,57.24809000,0.85,,,Transit,Exoarchive,Transit
Kepler-351,2.6665159315649034,,142.54424700,0.85,,,Transit,Exoarchive,Transit
Kepler-352,0.8449453774917596,,10.05537000,0.78,,,Transit,Exoarchive,Transit
Kepler-352,1.21803814157903,,16.33299500,0.78,,,Transit,Exoarchive,Transit
Kepler-353,0.8668920106733636,,5.79527800,0.50,,,Transit,Exoarchive,Transit
Kepler-353,1.3497179406686548,,8.41089400,0.50,,,Transit,Exoarchive,Transit
Kepler-354,1.7996239208915399,,5.47666000,0.67,,,Transit,Exoarchive,Transit
Kepler-354,1.2838780411238426,,16.93440200,0.67,,,Transit,Exoarchive,Transit
Kepler-354,1.21803814157903,,24.20984200,0.67,,,Transit,Exoarchive,Transit
Kepler-355,1.4265311568042693,,11.03189000,1.07,,,Transit,Exoarchive,Transit
Kepler-355,2.6555426149741015,,25.76229400,1.07,,,Transit,Exoarchive,Transit
Kepler-356,1.5362643227122903,,4.61269600,1.33,,,Transit,Exoarchive,Transit
Kepler-356,1.7667039711191335,,13.12163200,1.33,,,Transit,Exoarchive,Transit
Kepler-357,1.7996239208915399,,6.47543400,0.83,,,Transit,Exoarchive,Transit
Kepler-357,2.611649348610893,,16.85837000,0.83,,,Transit,Exoarchive,Transit
Kepler-357,3.357834876785434,,49.49987500,0.83,,,Transit,Exoarchive,Transit
Kepler-358,2.6665159315649034,,34.06046700,0.95,,,Transit,Exoarchive,Transit
Kepler-358,2.7872224140637263,,83.48836900,0.95,,,Transit,Exoarchive,Transit
Kepler-359,3.4565947261026526,,25.56322200,1.09,,,Transit,Exoarchive,Transit
Kepler-359,4.213753570867995,,57.68802000,1.09,,,Transit,Exoarchive,Transit
Kepler-359,3.9284473395071418,,77.09569100,1.09,,,Transit,Exoarchive,Transit
Kepler-36,1.4594511065766755,4.449430676490288,13.83989000,1.63,1.07,0.04,Transit,Exoarchive,Transit
Kepler-36,3.5992478417830798,7.9454119223040856,16.23855000,1.63,1.07,0.04,Transit,Exoarchive,Transit
Kepler-360,1.6130775388479046,,3.28967200,1.06,,,Transit,Exoarchive,Transit
Kepler-360,2.0520102024799876,,7.18643400,1.06,,,Transit,Exoarchive,Transit
Kepler-361,1.4155578402134672,,8.48661600,1.34,,,Transit,Exoarchive,Transit
Kepler-361,2.468996232930466,,55.18802300,1.34,,,Transit,Exoarchive,Transit
Kepler-362,0.8668920106733636,,10.32718600,0.72,,,Transit,Exoarchive,Transit
Kepler-362,1.4155578402134672,,37.86628100,0.72,,,Transit,Exoarchive,Transit
Kepler-363,1.1302516088526133,,3.61456800,1.49,,,Transit,Exoarchive,Transit
Kepler-363,1.656970805211113,,7.54242700,1.49,,,Transit,Exoarchive,Transit
Kepler-363,2.008116936116779,,11.93212500,1.49,,,Transit,Exoarchive,Transit
Kepler-364,1.514317689530686,,25.74571800,1.28,,,Transit,Exoarchive,Transit
Kepler-364,2.1068767854339976,,59.98062700,1.28,,,Transit,Exoarchive,Transit
Kepler-365,1.997143619525977,,10.66490300,1.05,,,Transit,Exoarchive,Transit
Kepler-365,1.6021042222571025,,17.78412900,1.05,,,Transit,Exoarchive,Transit
Kepler-366,1.4265311568042693,,3.28195900,1.05,,,Transit,Exoarchive,Transit
Kepler-366,1.7557306545283315,,12.51616000,1.05,,,Transit,Exoarchive,Transit
Kepler-367,1.2729047245330403,,37.81572400,0.69,,,Transit,Exoarchive,Transit
Kepler-367,1.1741448752158217,,53.57863700,0.69,,,Transit,Exoarchive,Transit
Kepler-368,3.193235127923403,,26.84768000,2.02,,,Transit,Exoarchive,Transit
Kepler-368,3.796767540417517,,72.37933400,2.02,,,Transit,Exoarchive,Transit
Kepler-369,1.1083049756710093,,2.73275600,0.47,,,Transit,Exoarchive,Transit
Kepler-369,1.382637890441061,,14.87157200,0.47,,,Transit,Exoarchive,Transit
Kepler-37,0.32919949772406215,3.178164768921634,13.36731000,0.79,0.87,0.15,Transit,Exoarchive,Mixed
Kepler-37,0.7352122115837388,12.000750167448091,21.30200000,0.79,0.87,0.15,Transit,Exoarchive,Mixed
Kepler-37,1.8983837702087585,12.200974547890153,39.79220000,0.79,0.87,0.15,Transit,Exoarchive,Mixed
Kepler-37,,,51.19600000,0.79,0.87,0.15,Transit Timing Variations,Exoarchive,Mixed
Kepler-370,1.5582109558938941,,4.57953000,0.90,,,Transit,Exoarchive,Transit
Kepler-370,1.8654638204363523,,19.02293000,0.90,,,Transit,Exoarchive,Transit
Kepler-371,1.8544905038455501,,34.76327800,0.99,,,Transit,Exoarchive,Transit
Kepler-371,1.7447573379375294,,67.96801500,0.99,,,Transit,Exoarchive,Transit
Kepler-372,1.3277713074870507,,6.84969200,1.14,,,Transit,Exoarchive,Transit
Kepler-372,2.041036885889185,,20.05376300,1.14,,,Transit,Exoarchive,Transit
Kepler-372,1.656970805211113,,30.09256800,1.14,,,Transit,Exoarchive,Transit
Kepler-373,1.3277713074870507,,5.53530900,0.84,,,Transit,Exoarchive,Transit
Kepler-373,1.21803814157903,,16.72594800,0.84,,,Transit,Exoarchive,Transit
Kepler-374,1.0095451263537907,,1.89780600,0.91,,,Transit,Exoarchive,Transit
Kepler-374,1.075385025898603,,3.28280700,0.91,,,Transit,Exoarchive,Transit
Kepler-374,1.2838780411238426,,5.02821900,0.91,,,Transit,Exoarchive,Transit
Kepler-375,1.4155578402134672,,12.12593400,0.84,,,Transit,Exoarchive,Transit
Kepler-375,2.589702715429289,,19.98632600,0.84,,,Transit,Exoarchive,Transit
Kepler-376,1.0424650761261969,,4.92019900,1.18,,,Transit,Exoarchive,Transit
Kepler-376,1.7557306545283315,,14.17232700,1.18,,,Transit,Exoarchive,Transit
Kepler-377,1.360691257259457,,12.50952900,1.22,,,Transit,Exoarchive,Transit
Kepler-377,2.0190902527075814,,27.01497600,1.22,,,Transit,Exoarchive,Transit
Kepler-378,0.7352122115837388,,16.09236100,0.67,,,Transit,Exoarchive,Transit
Kepler-378,0.6803456286297285,,28.90600900,0.67,,,Transit,Exoarchive,Transit
Kepler-379,1.6240508554387065,,20.09838000,1.31,,,Transit,Exoarchive,Transit
Kepler-379,2.238556584523623,,62.78469700,1.31,,,Transit,Exoarchive,Transit
Kepler-38,4.213753570867995,122.04152712659076,105.59900000,1.75,0.94,0.06,Transit,Exoarchive,Transit
Kepler-380,1.1631715586250195,,3.93082100,1.22,,,Transit,Exoarchive,Transit
Kepler-380,1.239984774760634,,7.63000400,1.22,,,Transit,Exoarchive,Transit
Kepler-381,0.9656518599905823,,5.62902100,1.57,,,Transit,Exoarchive,Transit
Kepler-381,1.0973316590802071,,13.39163500,1.57,,,Transit,Exoarchive,Transit
Kepler-382,1.2948513577146445,,5.26215500,0.94,,,Transit,Exoarchive,Transit
Kepler-382,1.5582109558938941,,12.16270100,0.94,,,Transit,Exoarchive,Transit
Kepler-383,1.2948513577146445,,12.90453200,0.67,,,Transit,Exoarchive,Transit
Kepler-383,1.21803814157903,,31.20075100,0.67,,,Transit,Exoarchive,Transit
Kepler-384,1.0973316590802071,,22.59705300,0.88,,,Transit,Exoarchive,Transit
Kepler-384,1.1083049756710093,,45.34826900,0.88,,,Transit,Exoarchive,Transit
Kepler-385,2.6774892481557053,,10.04368600,1.13,,,Transit,Exoarchive,Transit
Kepler-385,2.9737687961073616,,15.16316100,1.13,,,Transit,Exoarchive,Transit
Kepler-386,1.360691257259457,,12.31043000,0.77,,,Transit,Exoarchive,Transit
Kepler-386,1.5472376393030918,,25.19345800,0.77,,,Transit,Exoarchive,Transit
Kepler-387,1.0095451263537907,,6.79163600,1.05,,,Transit,Exoarchive,Transit
Kepler-387,0.8668920106733636,,11.83754900,1.05,,,Transit,Exoarchive,Transit
Kepler-388,0.7900787945377492,,3.17331500,0.59,,,Transit,Exoarchive,Transit
Kepler-388,0.8449453774917596,,13.29700400,0.59,,,Transit,Exoarchive,Transit
Kepler-389,1.4813977397582796,,3.24410700,0.79,,,Transit,Exoarchive,Transit
Kepler-389,1.4265311568042693,,14.51143000,0.79,,,Transit,Exoarchive,Transit
Kepler-39,13.606912572594569,6388.111185532485,21.08721000,1.40,1.29,0.06,Transit,Exoarchive,Transit
Kepler-390,0.8010521111285512,,6.73808800,0.78,,,Transit,Exoarchive,Transit
Kepler-390,0.7681321613561451,,13.06002200,0.78,,,Transit,Exoarchive,Transit
Kepler-391,3.1273952283785906,,7.41675500,3.57,,,Transit,Exoarchive,Transit
Kepler-391,3.4675680426934545,,20.48543500,3.57,,,Transit,Exoarchive,Transit
Kepler-392,0.9766251765813844,,5.34185300,1.13,,,Transit,Exoarchive,Transit
Kepler-392,1.075385025898603,,10.42311800,1.13,,,Transit,Exoarchive,Transit
Kepler-393,1.2619314079422383,,9.18241700,1.38,,,Transit,Exoarchive,Transit
Kepler-393,1.3058246743054465,,14.61361200,1.38,,,Transit,Exoarchive,Transit
Kepler-394,1.5691842724846963,,8.00501300,1.13,,,Transit,Exoarchive,Transit
Kepler-394,1.6240508554387065,,12.13068600,1.13,,,Transit,Exoarchive,Transit
Kepler-395,1.0095451263537907,,7.05434600,0.56,,,Transit,Exoarchive,Transit
Kepler-395,1.2948513577146445,,34.98926200,0.56,,,Transit,Exoarchive,Transit
Kepler-396,3.4236747763302464,75.64032150033488,42.99400000,1.17,,,Transit,Exoarchive,Transit
Kepler-396,5.19037874744938,17.797722705961153,88.50500000,1.17,,,Transit,Exoarchive,Transit
Kepler-397,2.403156333385654,,22.25094900,0.77,,,Transit,Exoarchive,Transit
Kepler-397,6.046297441531942,,135.49852700,0.77,,,Transit,Exoarchive,Transit
Kepler-398,0.910785277036572,,4.08142300,0.61,,,Transit,Exoarchive,Transit
Kepler-398,0.9875984931721865,,11.41941200,0.61,,,Transit,Exoarchive,Transit
Kepler-398,0.8668920106733636,,6.83437001,0.61,,,Transit,Exoarchive,Transit
Kepler-399,0.9437052268089781,,14.42528100,0.68,,,Transit,Exoarchive,Transit
Kepler-399,1.4045845236226653,,26.67569000,0.68,,,Transit,Exoarchive,Transit
Kepler-399,1.8544905038455501,,58.03461600,0.68,,,Transit,Exoarchive,Transit
Kepler-4,3.91747402291634,24.47186872069658,3.21346000,1.49,1.22,0.05,Transit,Exoarchive,Transit
Kepler-40,12.838780411238425,699.1962491627596,6.87349000,2.13,1.48,0.06,Transit,Exoarchive,Transit
Kepler-400,1.6130775388479046,,9.02438900,1.15,,,Transit,Exoarchive,Transit
Kepler-400,1.4594511065766755,,17.34082400,1.15,,,Transit,Exoarchive,Transit
Kepler-401,1.678917438392717,,14.38303500,1.33,,,Transit,Exoarchive,Transit
Kepler-401,2.1068767854339976,,47.31821800,1.33,,,Transit,Exoarchive,Transit
Kepler-401,2.227583267932821,,184.25640500,1.33,,,Transit,Exoarchive,Transit
Kepler-402,1.1960915083974257,,4.02875100,1.26,,,Transit,Exoarchive,Transit
Kepler-402,1.525291006121488,,6.12482100,1.26,,,Transit,Exoarchive,Transit
Kepler-402,1.3497179406686548,,8.92109900,1.26,,,Transit,Exoarchive,Transit
Kepler-402,1.4265311568042693,,11.24286100,1.26,,,Transit,Exoarchive,Transit
Kepler-403,1.2290114581698321,,7.03146200,1.33,,,Transit,Exoarchive,Transit
Kepler-403,1.7118373881651232,,54.28074900,1.33,,,Transit,Exoarchive,Transit
Kepler-403,1.3936112070318631,,13.61159129,1.33,,,Transit,Exoarchive,Transit
Kepler-404,1.239984774760634,,11.82985100,0.88,,,Transit,Exoarchive,Transit
Kepler-404,1.678917438392717,,14.75116600,0.88,,,Transit,Exoarchive,Transit
Kepler-405,2.041036885889185,,10.61383900,0.89,,,Transit,Exoarchive,Transit
Kepler-405,4.564899701773662,,29.72668200,0.89,,,Transit,Exoarchive,Transit
Kepler-406,1.4045845236226653,6.356329537843268,2.42629000,1.07,1.07,0.06,Transit,Exoarchive,Transit
Kepler-406,0.8339720609009574,2.8603482920294705,4.62332000,1.07,1.07,0.06,Transit,Exoarchive,Transit
Kepler-407,1.0424650761261969,3.200411922304086,0.66931000,1.01,1.00,0.06,Transit,Exoarchive,Mixed
Kepler-407,,4004.487608841259,3000.00000000,1.01,1.00,0.06,Radial Velocity,Exoarchive,Mixed
Kepler-408,0.8010521111285512,4.999253181513731,2.46502000,1.23,1.08,0.07,Transit,Exoarchive,Transit
Kepler-409,1.1631715586250195,21.999256530475552,68.95840000,0.89,0.92,0.06,Transit,Exoarchive,Transit
Kepler-41,14.155578402134672,177.97722705961152,1.85555820,1.29,1.15,0.04,Transit,Exoarchive,Transit
Kepler-410 A,2.7762490974729244,,17.83364800,1.35,1.21,0.03,Transit,Exoarchive,Transit
Kepler-411,2.3482897504316433,25.60011721366376,3.00515600,0.82,0.87,0.04,Transit,Exoarchive,Mixed
Kepler-411,4.323486736776016,26.39783657066309,7.83443500,0.82,0.87,0.04,Transit,Exoarchive,Mixed
Kepler-411,3.248101710877413,15.197983924983255,58.02035000,0.82,0.87,0.04,Transit,Exoarchive,Mixed
Kepler-411,,10.799403884795714,31.50972800,0.82,0.87,0.04,Transit Timing Variations,Exoarchive,Mixed
Kepler-412,14.715217548265578,299.06530475552574,1.72086040,1.29,1.17,0.09,Transit,Exoarchive,Transit
Kepler-413,4.257646837231204,67.05927662424648,66.26200000,0.78,0.82,0.01,Transit,Exoarchive,Transit
Kepler-414,1.678917438392717,3.4959812458137973,4.70000000,0.95,0.89,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-414,2.9518221629257573,29.874748827863357,7.17100000,0.95,0.89,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-415,1.1851181918066238,119.81681178834562,4.17600000,0.64,0.67,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-415,,,8.70800000,0.64,0.67,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-416,2.425102966567258,58.160415271265904,6.31900000,1.07,1.00,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-416,,,12.20900000,1.07,1.00,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-417,2.2605032177052267,11.12357669122572,12.33100000,0.81,0.90,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-417,,,15.94300000,0.81,0.90,,Transit Timing Variations,Exoarchive,Transit Timing Variations
Kepler-418,13.167979908962486,349.5981245813798,86.67856000,1.09,0.98,0.08,Transit,Exoarchive,Transit
Kepler-419,10.534383927169989,794.5411922304086,69.75460000,1.74,1.39,0.08,Transit,Exoarchive,Mixed
Kepler-419,,2320.060281312793,675.47000000,1.74,1.39,0.08,Transit Timing Variations,Exoarchive,Mixed
Kepler-42,0.7681321613561451,,1.21376720,0.17,0.13,0.05,Transit,Exoarchive,Transit
Kepler-42,0.7132655784021347,,0.45328509,0.17,0.13,0.05,Transit,Exoarchive,Transit
Kepler-42,0.5596391461309057,,1.86516900,0.17,0.13,0.05,Transit,Exoarchive,Transit
Kepler-421,4.071100455187569,,704.19840000,0.76,0.79,0.03,Transit,Exoarchive,Transit
Kepler-422,12.619314079422383,136.66108506363025,7.89144830,1.24,1.15,0.06,Transit,Exoarchive,Transit
Kepler-423,13.08019337623607,189.1008037508372,2.68432850,0.95,0.85,0.04,Transit,Exoarchive,Transit
Kepler-424,9.766251765813845,327.3509711989283,3.31186440,0.94,1.01,0.05,Transit,Exoarchive,Mixed
Kepler-424,,2215.180843938379,223.30000000,0.94,1.01,0.05,Radial Velocity,Exoarchive,Mixed
Kepler-425,10.731903625804426,79.45411922304085,3.79701816,0.86,0.93,0.05,Transit,Exoarchive,Transit
Kepler-426,11.960915083974259,108.05760214333557,3.21751883,0.92,0.91,0.06,Transit,Exoarchive,Transit
Kepler-427,13.497179406686548,92.16677829872738,10.29099400,1.35,0.96,0.06,Transit,Exoarchive,Transit
Kepler-428,11.851181918066237,403.6269256530475,3.52563254,0.80,0.87,0.05,Transit,Exoarchive,Transit
Kepler-43,13.376472924187725,1026.5472203616878,3.02409490,1.42,1.32,0.09,Transit,Exoarchive,Transit
Kepler-430,3.1822618113326007,,35.96800000,1.49,1.17,0.13,Transit,Exoarchive,Transit
Kepler-430,1.7557306545283315,,110.97900000,1.49,1.17,0.13,Transit,Exoarchive,Transit
Kepler-431,0.7461855281745409,,6.80300000,1.09,1.07,0.06,Transit,Exoarchive,Transit
Kepler-431,0.6583989954481243,,8.70300000,1.09,1.07,0.06,Transit,Exoarchive,Transit
Kepler-431,1.0973316590802071,,11.92200000,1.09,1.07,0.06,Transit,Exoarchive,Transit
Kepler-432,12.564447496468372,1719.387139986604,52.50112900,4.06,1.32,0.10,Transit,Exoarchive,Mixed
Kepler-432,,772.2940388479572,406.20000000,4.06,1.32,0.10,Radial Velocity,Exoarchive,Mixed
Kepler-433,15.911309056663004,896.2424648359008,5.33408384,2.26,1.46,0.17,Transit,Exoarchive,Transit
Kepler-434,12.399847747606339,908.9551239115874,12.87470990,1.38,1.20,0.09,Transit,Exoarchive,Transit
Kepler-435,21.836900015696123,266.9658405894172,8.60015360,3.21,1.54,0.09,Transit,Exoarchive,Transit
Kepler-436,2.633595981792497,,64.00205000,0.70,0.73,0.03,Transit,Exoarchive,Transit
Kepler-436,2.282449850886831,,16.79713874,0.70,0.73,0.03,Transit,Exoarchive,Transit
Kepler-437,2.0849301522523938,,66.65062000,0.68,0.71,0.03,Transit,Exoarchive,Transit
Kepler-438,1.0973316590802071,,35.23319000,0.52,0.54,0.04,Transit,Exoarchive,Transit
Kepler-439,2.1946633181604143,,178.13960000,0.87,0.88,0.04,Transit,Exoarchive,Transit
Kepler-44,11.960915083974259,317.8164768921634,3.24672930,1.35,1.12,0.08,Transit,Exoarchive,Transit
Kepler-440,1.8654638204363523,,101.11141000,0.56,0.57,0.04,Transit,Exoarchive,Transit
Kepler-441,1.6459974886203108,,207.24820000,0.55,0.57,0.05,Transit,Exoarchive,Transit
Kepler-442,1.3167979908962486,,112.30530000,0.60,0.61,0.03,Transit,Exoarchive,Transit
Kepler-443,2.3043964840684352,,177.66930000,0.71,0.74,0.03,Transit,Exoarchive,Transit
Kepler-444,0.3950393972688746,,3.60010530,0.75,0.76,0.04,Transit,Exoarchive,Transit
Kepler-444,0.48282592999529117,,4.54588410,0.75,0.76,0.04,Transit,Exoarchive,Transit
Kepler-444,0.5157458797676974,,6.18939200,0.75,0.76,0.04,Transit,Exoarchive,Transit
Kepler-444,0.5376925129493015,,7.74349300,0.75,0.76,0.04,Transit,Exoarchive,Transit
Kepler-444,0.7242388949929367,,9.74048600,0.75,0.76,0.04,Transit,Exoarchive,Transit
Kepler-445,1.5362643227122903,,2.98415100,0.21,0.18,0.04,Transit,Exoarchive,Transit
Kepler-445,2.4141296499764557,,4.87122900,0.21,0.18,0.04,Transit,Exoarchive,Transit
Kepler-445,1.2070648249882279,,8.15275000,0.21,0.18,0.04,Transit,Exoarchive,Transit
Kepler-446,1.4265311568042693,,1.56540900,0.24,0.22,0.05,Transit,Exoarchive,Transit
Kepler-446,1.0973316590802071,,3.03617900,0.24,0.22,0.05,Transit,Exoarchive,Transit
Kepler-446,1.3167979908962486,,5.14892100,0.24,0.22,0.05,Transit,Exoarchive,Transit
Kepler-447,18.10597237482342,435.4085733422639,7.79430132,1.05,1.00,0.21,Transit,Exoarchive,Transit
KOI-12,,6991.962491627595,2500.00000000,1.40,1.50,0.10,Transit Timing Variations,Exoarchive,Mixed
Kepler-449,2.008116936116779,,12.58242000,1.47,0.97,0.05,Transit,Exoarchive,Transit
Kepler-449,2.710409197928112,,33.67270000,1.47,0.97,0.05,Transit,Exoarchive,Transit
Kepler-45,10.534383927169989,160.49732083054252,2.45523900,0.55,0.59,0.06,Transit,Exoarchive,Transit
Kepler-450,6.0133774917595355,,28.45485100,1.57,1.35,0.08,Transit,Exoarchive,Transit
Kepler-450,2.5677560822476853,,15.41313500,1.57,1.35,0.08,Transit,Exoarchive,Transit
Kepler-450,0.8229987443101554,,7.51464000,1.57,1.35,0.08,Transit,Exoarchive,Transit
Kepler-452,1.5911309056663003,,384.84300000,1.11,1.04,0.05,Transit,Exoarchive,Transit
Kepler-453,6.0682440747135455,15.998881446751508,240.50300000,0.83,0.94,0.01,Transit,Exoarchive,Transit
Kepler-454,2.3043964840684352,6.356329537843268,10.57000000,1.05,0.85,0.22,Transit,Exoarchive,Mixed
Kepler-454,,1417.4614869390487,523.90000000,1.05,0.85,0.22,Radial Velocity,Exoarchive,Mixed
KIC 9663113,4.114993721550777,,20.74028413,1.03,0.98,0.13,Transit,Exoarchive,Transit
Kepler-46,8.866439805368074,1906.8988613529802,33.60134000,0.79,,,Transit,Exoarchive,Mixed
Kepler-46,,119.49899531145343,57.01100000,0.79,,,Transit Timing Variations,Exoarchive,Mixed
Kepler-46,1.6021042222571025,,6.76658900,0.79,,,Transit,Exoarchive,Mixed
KIC 5437945,5.398871762674619,,220.13033570,1.24,1.07,0.17,Transit,Exoarchive,Transit
Kepler-461,2.5238628158844767,,8.31378306,0.91,0.98,0.02,Transit,Exoarchive,Transit
