pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 147018 c,HD 147018,1,1,2,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,<a refstr=SEGRANSAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..45S/abstract target=ref> S&eacute;gransan et al. 2010 </a>,1008.00000000,18.00000000,-18.00000000,0,,,,,,,,,2080.00000,100.00000,-100.00000,0,6.56000,0.32000,-0.32000,0,Msini,0.133000,0.011000,-0.011000,0,0,,,,,141.200,4.100,-4.100,0,<a refstr=SEGRANSAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..45S/abstract target=ref> S&eacute;gransan et al. 2010 </a>,G9 V,5441.00,55.00,-55.00,0,,,,,0.93,0.03,-0.03,0,0.100,0.050,-0.050,0,[Fe/H],,,,,4.42,0.04,-0.04,0,6.360,4.330,-4.330,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h22m59.76s,245.7490012,-61d41m24.46s,-61.6901291,40.4256000,0.0714500,-0.0714500,24.7079000,0.0433806,-0.0433806,8.3000000,0.0300000,-0.0300000,6.5710000,0.0210000,-0.0210000,8.1114500,0.0002370,-0.0002370,2019-01-28 15:51:29,2010-02,2019-01-31
HD 147379 b,HD 147379,1,2,1,Radial Velocity,2017,Calar Alto Observatory,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,86.78000000,0.16000000,-0.15000000,0,,,,,,,,,28.55000,1.49000,-1.45000,0,0.08983,0.00469,-0.00456,0,Msini,0.070000,0.040000,-0.040000,0,0,,,,,5.830,0.220,-0.240,0,<a refstr=HOBSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A.103H/abstract target=ref>Hobson et al. 2018</a>,M1,4156.00,73.00,-73.00,0,,,,,0.60,0.07,-0.07,0,0.190,0.080,-0.080,0,[Fe/H],-0.971,0.058,-0.067,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h16m41.42s,244.1725686,+67d14m21.13s,67.2392041,10.7643000,0.0036500,-0.0036500,92.8704000,0.0311040,-0.0311040,8.6100000,0.1000000,-0.1000000,4.9530000,0.0180000,-0.0180000,7.9005200,0.0005810,-0.0005810,2018-11-06 15:49:45,2018-10,2018-11-08
HD 147513 b,HD 147513,1,2,1,Radial Velocity,2003,La Silla Observatory,Published Confirmed,0,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,528.40000000,6.30000000,-6.30000000,0,,,,,,,,,385.00000,,,0,1.21000,,,0,Msini,0.260000,0.050000,-0.050000,0,0,,,,,29.300,1.800,-1.800,0,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,,5883.00,,,0,,,,,1.11,,,0,0.060,,,0,[Fe/H],-0.010,,,0,4.51,,,0,0.300,,,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h24m01.39s,246.0057894,-39d11m34.68s,-39.1929661,12.9032000,0.0233500,-0.0233500,77.4716000,0.1391120,-0.1391120,5.3700000,0.0300000,-0.0300000,3.9330000,0.0360000,-0.0360000,5.2266400,0.0027777,-0.0027777,2019-01-28 15:51:30,2004-02,2019-01-31
HD 14787 b,HD 14787,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,676.60000000,8.10000000,-8.10000000,0,,,,,,,,,356.28743,21.93027,-21.93027,0,1.12100,0.06900,-0.06900,0,Msini,0.155000,0.073000,-0.073000,0,0,,,,,20.700,1.300,-1.300,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4946.00,,,0,5.01,,,0,1.43,,,0,,,,,,,,,,3.23,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h23m14.04s,35.8085099,+10d50m12.47s,10.8367972,119.1370000,0.7555000,-0.7555000,8.3652600,0.0528267,-0.0528267,7.6300000,0.0300000,-0.0300000,5.3880000,0.0210000,-0.0210000,7.3783900,0.0003360,-0.0003360,2018-12-03 14:48:09,2019-04,2018-12-06
HD 147873 b,HD 147873,1,2,2,Radial Velocity,2016,Multiple Observatories,Published Confirmed,0,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,116.59600000,0.02300000,-0.02300000,0,,,,,,,,,1633.64620,108.06220,-108.06220,0,5.14000,0.34000,-0.34000,0,Msini,0.207000,0.013000,-0.013000,0,0,,,,,171.500,1.200,-1.200,0,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G1 V,5972.00,100.00,-100.00,0,2.29,0.10,-0.10,0,1.38,0.05,-0.05,0,0.030,0.100,-0.100,0,[Fe/H],0.777,0.043,-0.047,0,3.86,0.05,-0.05,0,4.000,3.000,-3.000,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m45.13s,246.4380471,-33d34m02.00s,-33.5672217,109.0550000,1.0115000,-1.0115000,9.1421900,0.0844191,-0.0844191,7.9600000,0.0300000,-0.0300000,6.5810000,0.0290000,-0.0290000,7.8182800,0.0003150,-0.0003150,2016-11-09 10:57:21,2017-04,2016-11-10
HD 147873 c,HD 147873,1,2,2,Radial Velocity,2016,Multiple Observatories,Published Confirmed,0,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,491.54000000,0.79000000,-0.79000000,0,,,,,,,,,731.00900,57.20940,-57.20940,0,2.30000,0.18000,-0.18000,0,Msini,0.230000,0.030000,-0.030000,0,0,,,,,47.900,1.700,-1.700,0,<a refstr=JENKINS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.466..443J/abstract target=ref>Jenkins et al. 2017</a>,G1 V,5972.00,100.00,-100.00,0,2.29,0.10,-0.10,0,1.38,0.05,-0.05,0,0.030,0.100,-0.100,0,[Fe/H],0.777,0.043,-0.047,0,3.86,0.05,-0.05,0,4.000,3.000,-3.000,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m45.13s,246.4380471,-33d34m02.00s,-33.5672217,109.0550000,1.0115000,-1.0115000,9.1421900,0.0844191,-0.0844191,7.9600000,0.0300000,-0.0300000,6.5810000,0.0290000,-0.0290000,7.8182800,0.0003150,-0.0003150,2016-11-09 10:57:21,2017-04,2016-11-10
HD 148156 b,HD 148156,1,1,1,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,1027.00000000,28.00000000,-28.00000000,0,,,,,,,,,270.14400,212.93700,-15.89080,0,0.85000,0.67000,-0.05000,0,Msini,0.520000,0.040000,-0.090000,0,0,,,,,17.500,1.500,-0.500,0,<a refstr=NAEF_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...523A..15N/abstract target=ref> Naef et al. 2010 </a>,,6308.00,28.00,-28.00,0,1.21,0.03,-0.03,0,1.22,,,0,0.290,0.020,-0.020,0,[Fe/H],0.250,,,0,4.56,0.07,-0.07,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h28m17.35s,247.0723035,-46d19m03.03s,-46.3175085,57.1289000,0.1484500,-0.1484500,17.4755000,0.0451541,-0.0451541,7.6900000,0.0300000,-0.0300000,6.3970000,0.0230000,-0.0230000,7.5550800,0.0001520,-0.0001520,2019-01-28 15:51:33,2010-11,2019-01-31
HD 148164 b,HD 148164,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,328.55000000,0.41000000,-0.41000000,0,,,,,,,,,390.93090,79.45750,-79.45750,0,1.23000,0.25000,-0.25000,0,Msini,0.587000,0.026000,-0.026000,0,0,,,,,39.600,1.700,-1.700,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,F8,6032.00,,,0,1.34,0.10,-0.10,0,1.21,0.24,-0.24,0,0.240,,,0,[Fe/H],0.330,0.070,-0.070,0,,,,,2.410,0.810,-0.810,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m44.44s,246.4351678,+11d55m08.66s,11.9190729,77.1971000,0.3003000,-0.3003000,12.9252000,0.0500171,-0.0500171,8.2300000,0.0300000,-0.0300000,6.9060000,0.0210000,-0.0210000,8.0907000,0.0003640,-0.0003640,2018-09-25 16:47:15,2018-11,2018-09-27
HD 148164 c,HD 148164,1,1,2,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,5062.00000000,114.00000000,-114.00000000,0,,,,,,,,,1640.00280,260.62060,-260.62060,0,5.16000,0.82000,-0.82000,0,Msini,0.125000,0.017000,-0.017000,0,0,,,,,54.280,0.890,-0.890,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,F8,6032.00,,,0,1.34,0.10,-0.10,0,1.21,0.24,-0.24,0,0.240,,,0,[Fe/H],0.330,0.070,-0.070,0,,,,,2.410,0.810,-0.810,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m44.44s,246.4351678,+11d55m08.66s,11.9190729,77.1971000,0.3003000,-0.3003000,12.9252000,0.0500171,-0.0500171,8.2300000,0.0300000,-0.0300000,6.9060000,0.0210000,-0.0210000,8.0907000,0.0003640,-0.0003640,2018-09-25 16:47:15,2018-11,2018-09-27
HD 148284 b,HD 148284,1,1,1,Radial Velocity,2018,W. M. Keck Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,339.33100000,0.01800000,-0.01800000,0,,,,,,,,,10710.87100,1748.06500,-1748.06500,0,33.70000,5.50000,-5.50000,0,Msini,0.389260,0.000890,-0.000890,0,0,,,,,1022.000,1.200,-1.200,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,K0,5572.00,,,0,1.48,0.16,-0.16,0,1.07,0.26,-0.26,0,0.160,,,0,[Fe/H],0.280,0.090,-0.090,0,,,,,8.660,1.170,-1.170,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m48.38s,246.4516039,+30d15m53.19s,30.2647739,121.1870000,0.6465000,-0.6465000,8.2231200,0.0437129,-0.0437129,9.0100000,0.0300000,-0.0300000,7.3220000,0.0200000,-0.0200000,8.8349100,0.0001850,-0.0001850,2018-09-25 16:47:16,2018-11,2018-09-27
HD 148427 b,HD 148427,1,1,1,Radial Velocity,2009,Lick Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,331.50000000,3.00000000,-3.00000000,0,,,,,,,,,413.17900,54.03110,-54.03110,0,1.30000,0.17000,-0.17000,0,Msini,0.160000,0.080000,-0.080000,0,0,,,,,27.700,2.000,-2.000,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5025.00,4.00,-4.00,0,3.86,0.12,-0.12,0,1.64,0.27,-0.27,0,0.080,,,0,[Fe/H],,,,,3.48,0.06,-0.06,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h28m28.11s,247.1171311,-13d23m58.64s,-13.3996231,71.3499000,0.3070500,-0.3070500,13.9869000,0.0598674,-0.0598674,6.9049800,0.0230000,-0.0230000,4.6820000,0.0210000,-0.0210000,6.6354200,0.0001270,-0.0001270,2018-09-04 16:15:04,2017-03,2018-09-06
HD 149026 b,HD 149026,1,1,1,Radial Velocity,2005,Subaru Telescope,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.87589000,0.00000200,-0.00000200,0,8.295,0.224,-0.224,0,0.740,0.020,-0.020,0,120.77540,19.06980,-19.06980,0,0.38000,0.06000,-0.06000,0,Mass,0.000000,,,0,0,,,,,43.300,1.200,-1.200,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6179.00,15.00,-15.00,0,1.41,0.03,-0.03,0,1.42,0.33,-0.33,0,0.320,,,0,[Fe/H],,,,,4.37,0.04,-0.04,0,,,,,0.7200,0.1600,-0.1600,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m29.52s,247.6229827,+38d20m51.13s,38.3475349,75.8643000,0.1736500,-0.1736500,13.1526000,0.0299472,-0.0299472,8.1500000,0.0300000,-0.0300000,6.8190000,0.0170000,-0.0170000,8.0141600,0.0003820,-0.0003820,2018-04-25 14:05:17,2017-03,2018-04-26
HD 149143 b,HD 149143,1,1,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,4.07182000,0.00001000,-0.00001000,0,,,,,,,,,422.71390,47.67450,-47.67450,0,1.33000,0.15000,-0.15000,0,Msini,0.016700,0.004000,-0.004000,0,0,,,,,150.300,0.650,-0.650,0,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,G0,5856.00,,,0,1.44,0.08,-0.08,0,1.20,0.20,-0.20,0,0.290,,,0,[Fe/H],0.350,0.050,-0.050,0,,,,,4.280,0.680,-0.680,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h32m51.04s,248.2126715,+02d05m04.04s,2.0844547,73.2801000,0.3605500,-0.3605500,13.6179000,0.0666393,-0.0666393,7.8900000,0.0300000,-0.0300000,6.4340000,0.0260000,-0.0260000,7.7408100,0.0002900,-0.0002900,2018-09-25 16:47:17,2018-11,2018-09-27
HD 1502 b,HD 1502,1,1,1,Radial Velocity,2011,W. M. Keck Observatory,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,428.50000000,1.20000000,-1.20000000,0,,,,,,,,,874.03250,50.85280,-50.85280,0,2.75000,0.16000,-0.16000,0,Msini,0.031000,0.022000,-0.022000,0,0,,,,,57.500,3.300,-3.300,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,4947.00,,,0,4.67,,,0,1.46,,,0,,,,,,,,,,3.18,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h19m17.15s,4.8214389,+14d03m16.86s,14.0546830,190.9530000,2.7675000,-2.7675000,5.2095100,0.0753121,-0.0753121,8.3600000,0.0300000,-0.0300000,6.1200000,0.0260000,-0.0260000,8.1041700,0.0003610,-0.0003610,2018-12-03 14:48:05,2019-04,2018-12-06
HD 150706 b,HD 150706,1,1,1,Radial Velocity,2012,Haute-Provence Observatory,Published Confirmed,0,<a refstr=BOISSE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...545A..55B/abstract target=ref> Boisse et al. 2012 </a>,5894.00000000,5584.00000000,-1498.00000000,0,,,,,,,,,861.28000,362.31000,-209.76000,0,2.71000,1.14000,-0.66000,0,Msini,0.380000,0.280000,-0.320000,0,0,,,,,31.100,6.300,-4.800,0,<a refstr=BOISSE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...545A..55B/abstract target=ref> Boisse et al. 2012 </a>,G0 V,5961.00,27.00,-27.00,0,0.96,0.02,-0.02,0,1.17,0.12,-0.12,0,-0.010,0.040,-0.040,0,[Fe/H],,,,,4.50,0.10,-0.10,0,3.000,2.000,-2.000,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h31m18.14s,247.8255687,+79d47m21.85s,79.7894032,28.2697000,0.0228500,-0.0228500,35.3446000,0.0284190,-0.0284190,7.0300000,0.0200000,-0.0200000,5.5650000,0.0160000,-0.0160000,6.8503800,0.0004520,-0.0004520,2014-07-23,2012-09,2014-07-23
HD 152079 b,HD 152079,1,1,1,Radial Velocity,2009,Las Campanas Observatory,Published Confirmed,0,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,2918.92000000,37.87000000,-39.28000000,0,,,,,,,,,845.74563,14.62018,-14.62018,0,2.66100,0.04600,-0.04600,0,Msini,0.532000,0.015000,-0.016000,0,0,,,,,40.760,1.160,-1.100,0,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,,5907.00,52.00,-52.00,0,1.13,0.07,-0.07,0,1.15,0.03,-0.03,0,0.290,0.070,-0.070,0,[Fe/H],,,,,4.37,0.05,-0.05,0,1.622,1.369,-1.369,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h53m29.58s,253.3732313,-46d20m00.09s,-46.3333582,87.8888000,0.3568500,-0.3568500,11.3494000,0.0458490,-0.0458490,9.1800000,0.0300000,-0.0300000,7.6340000,0.0210000,-0.0210000,9.0105100,0.0003110,-0.0003110,2019-06-24 13:37:25,2018-08,2019-06-27
HD 152581 b,HD 152581,1,1,1,Radial Velocity,2011,W. M. Keck Observatory,Published Confirmed,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,686.50000000,4.80000000,-4.80000000,0,,,,,,,,,594.02427,22.56593,-22.56593,0,1.86900,0.07100,-0.07100,0,Msini,0.040000,0.031000,-0.031000,0,0,,,,,36.200,1.300,-1.300,0,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,,5027.00,,,0,5.14,,,0,1.30,,,0,,,,,,,,,,3.29,,,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h53m43.59s,253.4316451,+11d58m25.26s,11.9736828,165.7600000,1.1715000,-1.1715000,6.0043800,0.0423106,-0.0423106,8.3800000,0.0300000,-0.0300000,6.1730000,0.0150000,-0.0150000,8.1274600,0.0003300,-0.0003300,2018-12-03 14:48:29,2019-04,2018-12-06
HD 15337 b,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,4.75615000,0.00017000,-0.00017000,0,1.640,0.060,-0.060,0,0.146,0.005,-0.005,0,7.51000,1.09000,-1.01000,0,0.02363,0.00343,-0.00318,0,Mass,0.090000,0.050000,-0.050000,0,0,0.01761,0.00055,-0.00058,0,3.080,0.440,-0.410,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125.00,50.00,-50.00,0,0.86,0.02,-0.02,0,0.90,0.03,-0.03,0,0.150,0.100,-0.100,0,[Fe/H],,,,,4.53,0.02,-0.02,0,5.100,0.800,-0.800,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155000,0.0705500,-0.0705500,22.2848000,0.0348640,-0.0348640,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-05-14 13:06:28,2019-05,2019-05-16
HD 15337 c,HD 15337,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,17.17840000,0.00160000,-0.00160000,0,2.390,0.120,-0.120,0,0.213,0.011,-0.011,0,8.11000,1.82000,-1.69000,0,0.02552,0.00573,-0.00532,0,Mass,0.050000,0.060000,-0.040000,0,0,0.02560,0.00110,-0.00110,0,2.160,0.480,-0.450,0,<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,K1 V,5125.00,50.00,-50.00,0,0.86,0.02,-0.02,0,0.90,0.03,-0.03,0,0.150,0.100,-0.100,0,[Fe/H],,,,,4.53,0.02,-0.02,0,5.100,0.800,-0.800,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h27m28.29s,36.8678846,-27d38m10.02s,-27.6361171,44.8155000,0.0705500,-0.0705500,22.2848000,0.0348640,-0.0348640,9.1000000,0.0300000,-0.0300000,7.0440000,0.0180000,-0.0180000,8.8559800,0.0001780,-0.0001780,2019-05-14 13:06:28,2019-05,2019-05-16
HD 153950 b,HD 153950,1,1,1,Radial Velocity,2008,La Silla Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,499.39999000,3.60000000,-3.60000000,0,,,,,,,,,937.59850,92.17070,-92.17070,0,2.95000,0.29000,-0.29000,0,Msini,0.340000,0.020000,-0.020000,0,0,,,,,69.200,1.200,-1.200,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6124.00,81.00,-81.00,0,1.28,0.04,-0.04,0,1.25,0.18,-0.18,0,-0.010,,,0,[Fe/H],,,,,4.32,0.06,-0.06,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h04m31.03s,256.1292826,-43d18m37.35s,-43.3103753,48.4549000,0.1165500,-0.1165500,20.6090000,0.0492555,-0.0492555,7.3900000,0.0300000,-0.0300000,6.0060000,0.0170000,-0.0170000,7.2381300,0.0002010,-0.0002010,2018-09-04 16:15:42,2017-03,2018-09-06
