hostname,default_flag,sy_snum,sy_pnum,discoverymethod,rv_flag,soltype,pl_controv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=GAUTIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...15G/abstract target=ref> Gautier et al. 2012 </a>,,5455.00,100.00,-100.00,0,0.94,0.06,-0.10,0,0.91,0.03,-0.03,-1,0.010,0.040,-0.040,0,[Fe/H],4.40,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2012-04,2014-05-14
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5569.00,82.21,-62.90,0,0.93,0.07,-0.05,0,0.95,0.04,-0.04,0,0.040,0.099,-0.100,0,[Fe/H],4.48,0.05,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-05,2016-05-10
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2019-04-16,2019-03,2019-04-18
Kepler-20,1,2,6,Transit,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,,5495.00,50.00,-50.00,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.070,0.080,-0.080,0,[m/H],4.45,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-12,2017-03-30
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5508.00,110.00,-110.00,0,0.89,0.04,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-04,2018-10,2018-09-06
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=GAUTIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...15G/abstract target=ref> Gautier et al. 2012 </a>,,5455.00,100.00,-100.00,0,0.94,0.06,-0.10,0,0.91,0.03,-0.03,-1,0.010,0.040,-0.040,0,[Fe/H],4.40,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2012-04,2014-05-14
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2014-11-21,2014-12-18,2014-11-21
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-25,2018-08-16,2018-09-25
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5569.00,82.21,-62.90,0,0.93,0.07,-0.05,0,0.95,0.04,-0.04,0,0.040,0.099,-0.100,0,[Fe/H],4.48,0.05,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-05,2016-05-10
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2014-11-18,2014-12-04,2014-11-18
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2015-08-25,2015-09-24,2015-08-25
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5443.00,44.00,-44.00,0,0.94,0.08,-0.08,0,0.90,0.02,-0.02,0,,,,0,,4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2013-10-28,2014-01-08,2013-10-28
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-07,2016-07-28
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5465.00,109.00,-109.00,0,0.93,0.10,-0.08,0,0.88,0.06,-0.04,0,0.020,0.150,-0.150,0,[Fe/H],4.45,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-25,2018-08-16,2018-09-25
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2015-08-25,2015-09-24,2015-08-25
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5508.00,110.00,-110.00,0,0.89,0.04,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-04,2018-10,2018-09-06
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5465.00,109.00,-109.00,0,0.93,0.10,-0.08,0,0.88,0.06,-0.04,0,0.020,0.150,-0.150,0,[Fe/H],4.45,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2014-11-18,2014-12-04,2014-11-18
Kepler-20,1,2,6,Transit,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,,5495.00,50.00,-50.00,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.070,0.080,-0.080,0,[m/H],4.45,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-12,2017-03-30
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5443.00,44.00,-44.00,0,0.94,0.08,-0.08,0,0.90,0.02,-0.02,0,,,,0,,4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2013-10-28,2014-01-08,2013-10-28
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=GAUTIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...749...15G/abstract target=ref> Gautier et al. 2012 </a>,,5455.00,100.00,-100.00,0,0.94,0.06,-0.10,0,0.91,0.03,-0.03,-1,0.010,0.040,-0.040,0,[Fe/H],4.40,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2012-04,2014-05-14
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2019-04-16,2019-03,2019-04-18
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2014-11-21,2014-12-18,2014-11-21
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5569.00,82.21,-62.90,0,0.93,0.07,-0.05,0,0.95,0.04,-0.04,0,0.040,0.099,-0.100,0,[Fe/H],4.48,0.05,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-05,2016-05-10
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-07,2016-07-28
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-25,2018-08-16,2018-09-25
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5569.00,82.21,-62.90,0,0.93,0.07,-0.05,0,0.95,0.04,-0.04,0,0.040,0.099,-0.100,0,[Fe/H],4.48,0.05,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-05,2016-05-10
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2014-11-18,2014-12-04,2014-11-18
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5443.00,44.00,-44.00,0,0.94,0.08,-0.08,0,0.90,0.02,-0.02,0,,,,0,,4.45,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2013-10-28,2014-01-08,2013-10-28
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,5508.00,110.00,-110.00,0,0.89,0.04,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2018-09-04,2018-10,2018-09-06
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5465.00,110.00,-96.00,0,0.93,0.16,-0.07,0,0.88,0.06,-0.04,0,0.020,0.160,-0.140,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2015-08-25,2015-09-24,2015-08-25
Kepler-20,0,2,6,Transit,1,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5465.00,109.00,-109.00,0,0.93,0.10,-0.08,0,0.88,0.06,-0.04,0,0.020,0.150,-0.150,0,[Fe/H],4.45,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-20,1,2,6,Transit,1,Published Confirmed,0,<a refstr=BUCHHAVE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..160B/abstract target=ref>Buchhave et al. 2016</a>,,5495.00,50.00,-50.00,0,0.96,0.02,-0.02,0,0.95,0.05,-0.05,0,0.070,0.080,-0.080,0,[m/H],4.45,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2016-12,2017-03-30
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=FRESSIN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.482..195F/abstract target=ref> Fressin et al. 2012 </a>,,5466.00,93.00,-93.00,0,0.94,0.06,-0.10,0,0.91,0.04,-0.04,0,0.020,0.040,-0.040,0,[Fe/H],4.44,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2017-03-28,2012-02,2014-05-14
Kepler-20,0,2,6,Transit,1,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5489.00,119.70,-146.73,0,0.91,0.06,-0.05,0,0.96,0.11,-0.14,0,0.020,0.100,-0.100,0,[M/H],4.50,0.10,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,12.6100000,0.0690000,-0.0690000,10.8710000,0.0130000,-0.0130000,12.4535000,0.0001420,-0.0001420,2019-04-16,2019-03,2019-04-18
