pl_name,hostname,gaia_id,sy_snum,sy_pnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_facility,disc_telescope,disc_instrument,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,st_nphot,st_nrvc,st_refname,system_type
42 Dra b,42 Dra,Gaia DR2 2256800156348230400,2,1,0,Radial Velocity,2008,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,479.10000000,6.20000000,-6.20000000,0,13.000,,,0,1.160,,,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,Msini,0.380000,0.060000,-0.060000,0,0,,,,,110.500,7.000,-7.000,0,K1.5 III,4200.00,70.00,-70.00,0,22.03,1.00,-1.00,0,0.98,0.05,-0.05,0,-0.460,0.050,-0.050,0,[Fe/H],1.71,0.05,-0.05,0,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,1.3227000,-1.3227000,11.0061000,0.1596890,-0.1596890,4.8262000,0.0230000,-0.0230000,2.0850000,0.2160000,-0.2160000,4.4321600,0.0062380,-0.0062380,,,,1,1,,Radial Velocity
47 UMa b,47 UMa,Gaia DR2 777254360337133312,1,3,0,Radial Velocity,1996,<a refstr=BUTLER___MARCY_1996 href=https://ui.adsabs.harvard.edu/abs/1996ApJ...464L.153B/abstract target=ref> Butler & Marcy 1996 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,1078.00000000,2.00000000,-2.00000000,0,13.200,,,0,1.180,,,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,Msini,0.032000,0.014000,-0.014000,0,0,,,,,48.400,0.800,-0.900,0,G0 V,5882.0,44.0,-10.0,0,1.21,0.04,-0.01,0,1.06,0.03,-0.01,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294,,,,1,9,,Radial Velocity
47 UMa c,47 UMa,Gaia DR2 777254360337133312,1,3,0,Radial Velocity,2001,<a refstr=FISCHER_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...564.1028F/abstract target=ref> Fischer et al. 2002 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,2391.00000000,100.00000000,-87.00000000,0,14.200,,,0,1.270,,,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,Msini,0.098000,0.047000,-0.096000,0,0,,,,,8.000,1.000,-1.000,0,G1 V,5882.0,44.0,-10.0,0,1.21,0.04,-0.01,0,1.06,0.03,-0.01,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294,,,,1,9,,Radial Velocity
47 UMa d,47 UMa,Gaia DR2 777254360337133312,1,3,0,Radial Velocity,2009,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14002.00000000,4018.00000000,-5095.00000000,0,13.500,,,0,1.200,,,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,Msini,0.160000,0.090000,-0.160000,0,0,,,,,13.800,2.200,-2.900,0,G0V,5882.0,44.0,-10.0,0,1.21,0.04,-0.01,0,1.06,0.03,-0.01,0,0.040,0.100,-0.100,0,[M/H],4.30,0.07,-0.07,0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000,72.4528000,0.1507010,-0.1507010,5.0335200,0.0230000,-0.0230000,3.7500000,0.3400000,-0.3400000,4.8783700,0.0038294,-0.0038294,,,,1,9,,Radial Velocity
51 Peg b,51 Peg,Gaia DR2 2835207319109249920,1,1,0,Radial Velocity,1995,<a refstr=MAYOR___QUELOZ_1995 href=https://ui.adsabs.harvard.edu/abs/1995Natur.378..355M/abstract target=ref> Mayor & Queloz 1995 </a>,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,0,4.23078500,0.00003600,-0.00003600,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,Mass,0.013000,0.012000,-0.012000,0,0,,,,,55.940,0.690,-0.690,0,G5V,5758.00,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.180,0.100,-0.100,0,[M/H],4.31,0.08,-0.06,0,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,0.0297000,-0.0297000,64.6488000,0.1232010,-0.1232010,5.4530900,0.0230000,-0.0230000,3.9110000,0.0210000,-0.0210000,5.2864700,0.0027680,-0.0027680,,,,1,5,,Radial Velocity
55 Cnc b,55 Cnc,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,1996,<a refstr=BUTLER_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...474L.115B/abstract target=ref> Butler et al. 1997 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,14.65160000,0.00010000,-0.00010000,0,13.900,,,0,1.240,,,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,Mass,0.000000,0.010000,-0.010000,0,0,,,,,71.370,0.210,-0.210,0,G8V,5172.0,18.0,-10.0,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,79.4274000,0.0776646,-0.0776646,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,,,,1,9,,Radial Velocity
55 Cnc c,55 Cnc,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,44.39890000,0.00420000,-0.00430000,0,8.510,,,0,0.760,,,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,Mass,0.030000,0.020000,-0.020000,0,0,,,,,9.890,0.220,-0.220,0,G8V,5172.0,18.0,-10.0,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,79.4274000,0.0776646,-0.0776646,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,,,,1,9,,Radial Velocity
55 Cnc d,55 Cnc,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2002,<a refstr=MARCY_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...581.1375M/abstract target=ref> Marcy et al. 2002 </a>,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,5574.20000000,93.80000000,-88.60000000,0,13.000,,,0,1.160,,,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,Mass,0.130000,0.020000,-0.020000,0,0,,,,,38.600,1.300,-1.400,0,G8V,5172.0,18.0,-10.0,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,79.4274000,0.0776646,-0.0776646,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,,,,1,9,,Radial Velocity
55 Cnc e,55 Cnc,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2004,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,Mass,0.050000,0.030000,-0.030000,0,0,0.01820,0.00020,-0.00020,0,6.020,0.240,-0.230,0,G8V,5172.0,18.0,-10.0,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,79.4274000,0.0776646,-0.0776646,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,,,,1,9,,Radial Velocity
55 Cnc f,55 Cnc,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2007,<a refstr=FISCHER_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675..790F/abstract target=ref> Fischer et al. 2008 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,259.88000000,0.29000000,-0.29000000,0,7.590,,,0,0.677,,,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,Mass,0.080000,0.050000,-0.040000,0,0,,,,,5.140,0.260,-0.250,0,G8V,5172.0,18.0,-10.0,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,0.350,0.100,-0.100,0,[Fe/H],4.43,0.02,-0.02,0,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,79.4274000,0.0776646,-0.0776646,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,,,,1,9,,Radial Velocity
61 Vir b,61 Vir,Gaia DR2 3507879565090229888,1,3,0,Radial Velocity,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,4.21500000,0.00060000,-0.00060000,0,2.110,,,0,0.188,,,0,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,Msini,0.120000,0.110000,-0.110000,0,0,,,,,2.120,0.230,-0.230,0,G5 V,5577.0,33.0,-10.0,0,0.96,0.01,-0.01,0,0.94,0.03,-0.01,0,-0.010,,,0,[Fe/H],4.34,0.03,-0.03,0,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000,117.5730000,0.2379020,-0.2379020,4.6955000,0.0462000,-0.0462000,2.9560000,0.2360000,-0.2360000,4.5405200,0.0055701,-0.0055701,,,,1,6,,Radial Velocity
