hostname,st_teff,st_tefferr1,st_tefferr2,st_teff_ref,st_rad,st_raderr1,st_raderr2,st_rad_ref,st_mass,st_masserr1,st_masserr2,st_mass_ref
GJ 581,3396.0,157.0,-10.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.33,0.01,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.31,0.02,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
GJ 676 A,3734.0,181.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.69,0.07,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.71,0.04,-0.01,<a refstr=ANGLADA_ESCUDE___TUOMI_2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...548A..58A/abstract target=ref> Anglada-Escude & Tuomi 2012 </a>
GJ 876,3271.0,157.0,-10.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.35,0.01,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.34,0.02,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
HD 10180,5911.0,19.0,-10.0,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,1.11,0.04,-0.01,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>,1.06,0.05,-0.01,<a refstr=KANE__AMP__GELINO_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...792..111K/abstract target=ref>Kane &amp; Gelino 2014</a>
HD 125612,5900.0,18.0,-10.0,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>,1.07,0.02,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.09,0.03,-0.01,<a refstr=LO_CURTO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..48L/abstract target=ref> Lo Curto et al. 2010 </a>
HD 136352,5664.0,14.0,-10.0,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,1.01,0.02,-0.01,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>,0.91,0.06,-0.01,<a refstr=KANE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..129K/abstract target=ref>Kane et al. 2020</a>
HD 141399,5600.0,40.0,-10.0,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,1.46,0.15,-0.01,<a refstr=VOGT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...97V/abstract target=ref>Vogt et al. 2014</a>,1.14,0.08,-0.01,<a refstr=VOGT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...97V/abstract target=ref>Vogt et al. 2014</a>
HD 158259,5801.89,124.62,-10.0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,1.26,0.06,-0.01,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,1.08,0.1,-0.01,<a refstr=HARA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636L...6H/abstract target=ref>Hara et al. 2020</a>
HD 160691,5807.0,30.0,-10.0,<a refstr=MCCARTHY_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..575M/abstract target=ref> McCarthy et al. 2004 </a>,1.38,0.05,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.08,0.05,-0.01,<a refstr=MCCARTHY_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...617..575M/abstract target=ref> McCarthy et al. 2004 </a>
HD 164922,5372.0,12.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.97,0.01,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.87,0.01,-0.01,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>
HD 181433,4918.0,15.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.79,0.01,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.63,0.07,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
HD 20781,5256.0,29.0,-10.0,Udry+ 2019,0.87,0.05,-0.01,TICv8,0.7,0.05,-0.01,Udry+ 2019
HD 20794,5490.0,70.0,-10.0,Bernkopf+ 2012,0.9,0.03,-0.01,Bernkopf+ 2012,0.81,0.02,-0.01,Feng+ 2017
HD 215152,4935.0,76.0,-10.0,<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>,0.73,0.02,-0.01,<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>,0.77,0.01,-0.01,<a refstr=DELISLE_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...614A.133D/abstract target=ref>Delisle et al. 2018</a>
HD 219134,4699.0,16.0,-10.0,<a refstr=MOTALEBI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..72M/abstract target=ref>Motalebi et al. 2015</a>,0.78,0.01,-0.01,<a refstr=MOTALEBI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..72M/abstract target=ref>Motalebi et al. 2015</a>,0.78,0.02,-0.01,<a refstr=MOTALEBI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..72M/abstract target=ref>Motalebi et al. 2015</a>
HD 27894,4920.0,45.0,-10.0,Trevisan+ 2011,0.85,0.05,-0.01,Trevisan+ 2011,0.86,0.06,-0.01,Trevisan+ 2011
HD 31527,5898.0,13.0,-10.0,Udry+ 2019,1.08,0.04,-0.01,TICv8,0.96,0.04,-0.01,Udry+ 2019
HD 34445,5879.0,16.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.38,0.02,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.07,0.02,-0.01,<a refstr=HOWARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1467H/abstract target=ref> Howard et al. 2010 </a>
HD 37124,5763.0,22.0,-10.0,Bonfanti+ 2015,0.92,0.02,-0.01,Bonfanti+ 2015,0.8,0.01,-0.01,Bonfanti+ 2015
HD 40307,4956.0,50.0,-10.0,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,0.72,0.06,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.77,0.05,-0.01,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>
HD 69830,5394.0,62.0,-10.0,Tanner+ 2015,0.91,0.02,-0.01,Tanner+ 2015,0.86,0.04,-0.01,Tanner+ 2015
HD 7924,5131.0,14.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.78,0.01,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.83,0.02,-0.01,<a refstr=HOWARD_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...696...75H/abstract target=ref> Howard et al. 2009 </a>
HIP 14810,5520.0,19.0,-10.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1.04,0.03,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,0.81,0.04,-0.01,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>
HIP 57274,4640.0,100.0,-10.0,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,0.68,0.03,-0.01,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>,0.73,0.05,-0.01,<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>
Wolf 1061,3342.0,49.0,-10.0,Astudillo-Defru+ 2017,0.31,0.03,-0.01,Astudillo-Defru+ 2017,0.29,0.01,-0.01,Astudillo-Defru+ 2017
YZ Cet,3056.0,60.0,-10.0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L..11A/abstract target=ref>Astudillo-Defru et al. 2017</a>,0.17,0.01,-0.01,<a refstr=ROBERTSON_2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...864L..28R/abstract target=ref>Robertson 2018</a>,0.13,0.01,-0.01,<a refstr=ROBERTSON_2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...864L..28R/abstract target=ref>Robertson 2018</a>
tau Cet,5344.0,29.0,-10.0,Santos+ 2004,0.79,0.01,-0.01,Teixeira+ 2009,0.78,0.01,-0.01,Feng+ 2017
ups And,6105.51,127.25,-10.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.64,0.11,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.15,0.16,-0.01,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
