#@string,ra,dec
TARGET,RA,DEC
HD 125595,173.1919022,-3.7192892
HD 125612,173.7653631,-3.8083543
HD 12648,173.8619194,-3.8318097
HD 126525,173.9385102,-3.8349989
HD 12661,173.9574203,-3.9055746
HD 126614,173.9646303,-3.9754405
HD 128311,174.0098693,-30.0130385
HD 128356,174.0116610,-30.1690785
HD 129445,174.2008941,-30.3481530
HD 130322,174.2662454,-30.3994612
HD 131496,174.7455392,-30.4541159
HD 131664,174.9602543,-30.5836084
HD 13167,175.0972238,-30.6004362
HD 13189,175.2067520,-30.6168403
HD 132406,175.4326081,-30.6398176
HD 132563,175.5252399,-30.7497189
HD 133131 A,175.5505363,-30.8046405
HD 133131 B,175.8756080,-30.8117992
HD 134060,175.9080328,-30.8140609
HD 134987,176.1233077,-30.9708179
HD 136352,176.1705487,-31.1443383
HD 136418,176.2097267,-31.2020698
HD 137388,176.2402326,-31.2443947
HD 13808,176.2499418,-31.2692116
HD 13908,176.2637240,-31.2948458
HD 13931,176.2990518,-31.3424500
HD 139357,176.4254063,-31.4810037
HD 1397,176.4820239,-31.7378373
HD 14067,176.5980316,-31.8746756
HD 141399,176.6208003,-32.1597118
HD 141937,176.6283230,-32.3394531
HD 142,176.6657559,-32.5436302
HD 142022 A,176.6941567,-32.7554188
HD 142245,176.7388264,-32.8003484
HD 142415,176.9376036,-32.8583878
HD 143105,177.3202331,-32.8601244
HD 143361,177.5647268,-32.9208401
HD 145377,177.5854673,-33.4373462
HD 145457,177.7304866,-33.5672217
HD 145934,177.8436988,-33.5776794
HD 1461,178.0568745,-33.7296900
HD 147018,178.1105741,-33.8600764
HD 147379,178.1921152,-33.8816918
HD 147513,178.2201971,-33.9152670
HD 14787,178.3296746,-34.1227453
HD 147873,178.5779970,-34.1357240
HD 148156,179.1713308,-34.1357512
HD 148164,179.2310729,-34.2262128
HD 148427,179.5479558,-34.3282716
HD 149026,179.7058532,-34.4590985
HD 149143,179.7923543,-34.4594469
HD 1502,179.8358421,-34.5790905
HD 150706,179.9397081,-34.6113042
HD 152079,18.1330792,-34.9899074
HD 152581,18.3443908,-35.0313349
HD 15337,18.4241015,-35.0561807
HD 153950,18.4700795,-35.3146536
HD 154345,18.6214650,-35.5395236
HD 154672,18.6432425,-35.5486091
HD 154857,18.9953122,-35.5495292
HD 155233,180.1650720,-35.5713041
HD 155358,180.2087883,-35.6405630
HD 156279,180.5408896,-35.7063640
HD 156411,180.5462193,-35.7966224
HD 156668,181.1211419,-35.8530693
HD 156846,181.2386829,-35.9984650
HD 158038,181.3157854,-36.6309812
HD 158259,181.6296115,-36.6461300
HD 158996,181.6324078,-37.0391349
HD 159243,182.1662666,-37.2558629
HD 159868,182.3292517,-37.5533568
HD 1605,182.3663818,-37.6282237
HD 160691,182.6996730,-37.7641354
HD 16141,182.7514040,-37.7809929
HD 16175,182.8173343,-37.8028236
HD 162020,183.0886375,-37.8122394
HD 163607,183.3660401,-37.8294782
HD 16417,183.3667344,-37.9397300
HD 164509,183.3730583,-37.9831248
HD 164595,183.4049258,-38.1397158
HD 164604,183.4686492,-38.1746390
HD 164922,183.4724742,-38.3233826
HD 165155,183.6456643,-38.3774193
HD 1666,183.7514959,-38.7445469
HD 166724,183.7762699,-38.9682973
HD 167042,183.7938491,-39.0583857
HD 168443,183.8088709,-39.0972705
HD 168746,184.0545174,-39.1929661
HD 1690,184.8059773,-39.2254856
HD 169830,184.9004881,-39.4904909
HD 170469,185.0315429,-39.7044432
HD 17092,185.1787793,-39.7580613
HD 171028,185.1815630,-39.9008996
HD 171238,185.1880932,-39.9071215
HD 17156,185.3061830,-4.4222978
HD 173416,185.3246821,-4.6100532
HD 175167,185.5507926,-4.6408317
